音標	調類	調值	
liɐɔ	6	21	料
liəɯ	2	13	流
liɪ̃	2	13	連蓮
lo	2	13	鑼螺
lo	7	24	落
loŋ	6	21	浪
lɑ	1	33	拉
lɑ	7	24	蠟辣
lɐɔ	3	41	腦老
lɐɔ	6	21	鬧
lɑŋ	1	33	聾
lɑŋ	3	41	冷
lən	2	13	輪能膿濃龍
lən	5	45	弄
lən	6	21	嫩
ləɯ	2	13	奴
ləɯ	6	21	路
ləɯ	7	24	鹿六綠
lɛ	2	13	樓
lø̃	3	41	暖
lø̃	6	21	亂
tsɐɛ	2	13	財柴
tsã	6	21	賺
tsəi	5	45	醉
tsəi	6	21	罪
tsəi	7	24	卒
tso	3	41	左
tso	6	21	坐
tso	7	24	作著桌鐲
tsoŋ	1	33	張裝章樁
tsoŋ	2	13	蠶長床
tsoŋ	5	45	壯
tsæ	7	24	側窄
tsɑ	2	13	茶
tsɑ	7	24	雜閘紮摘
tsɐɔ	2	13	朝
tsɐɔ	3	41	早找
tsɐɔ	5	45	灶罩照
tsɑŋ	1	33	爭
tsən	1	33	針蹲僧貞中終
tsən	2	13	沉陳唇層程城蟲
tsən	3	41	整腫
tsən	5	45	鎮震俊證正粽種
tsən	6	21	重
tsəɯ	1	33	租州
tsəɯ	2	13	鋤綢愁
tsəɯ	5	45	做
tsəɯ	7	24	竹粥足燭
tsɛ	3	41	走
tsɤ	2	13	折
tsø̃	1	33	磚
tsø̃	2	13	纏傳船權
tsø̃	3	41	轉卷
tsø̃	5	45	占戰
tsø̃	6	21	傳
tsɿ	1	33	知資
tsɿ	2	13	池遲祠
tsɿ	3	41	紫紙指子
tsɿ	5	45	制治
tsɿ	6	21	字
tsɿ	7	24	汁侄直織
tsʰɐɛ	5	45	菜
tsʰã	3	41	鏟產
tsʰo	5	45	錯
tsʰoŋ	1	33	倉瘡窗
tsʰoŋ	3	41	廠撞
tsʰoŋ	5	45	唱
tsʰæ	7	24	撤賊測拆策
tsʰɑ	1	33	車
tsʰɑ	5	45	擇
tsʰɑ	7	24	插擦尺
tsʰɐɔ	1	33	抄
tsʰɐɔ	3	41	草
tsʰɐɔ	5	45	糙造
tsʰən	1	33	村蔥充沖
tsʰən	5	45	寸秤
tsʰəɯ	1	33	初抽
tsʰəɯ	5	45	湊臭
tsʰəɯ	7	24	族畜
tsʰø̃	1	33	圈
tsʰø̃	5	45	勸
tsʰɿ	5	45	刺
tsʰɿ	7	24	直
sa	1	33	杉
sa	2	13	蛇
sa	5	45	射
sɐɛ	5	45	曬
sã	1	33	三衫山
sã	3	41	傘
səi	2	13	隨
səi	5	45	碎歲
so	3	41	鎖所
so	5	45	勺
so	7	24	索
soŋ	1	33	霜傷雙
soŋ	2	13	嘗
soŋ	6	21	上
sæ	7	24	舌設虱失塞色
sɑ	1	33	沙
sɑ	7	24	殺刷石
sɐɔ	1	33	燒
sɐɔ	3	41	嫂
sɑŋ	1	33	生聲
sɑŋ	3	41	省
sən	1	33	參深身孫升生松
sən	2	13	神辰繩
sən	3	41	筍省
sən	5	45	送宋
sən	6	21	剩
səɯ	3	41	數手
səɯ	5	45	數
səɯ	6	21	壽
səɯ	7	24	宿縮叔熟贖屬
sɛ	5	45	瘦
sɛɪ̃	1	33	生
sø̃	1	33	酸閂
sø̃	5	45	扇善算
sɿ	1	33	師絲
sɿ	2	13	時
sɿ	3	41	死使
sɿ	5	45	世四寺試式
sɿ	6	21	柿事市
sɿ	7	24	十實食
tɕi	1	33	雞饑
tɕi	2	13	徐騎棋
tɕi	3	41	幾嘴
tɕi	5	45	寄記季
tɕi	7	24	集急及吉極積擊
tɕia	3	41	姐
tɕia	5	45	借
tɕiã	1	33	經
tɕiã	3	41	井
tɕin	1	33	金筋
tɕin	2	13	尋琴勤窮
tɕin	3	41	緊
tɕin	5	45	進勁鏡
tɕin	6	21	近靜
tɕio	7	24	腳角
tɕioŋ	1	33	漿薑江
tɕioŋ	2	13	降
tɕioŋ	6	21	匠像
tɕiɑ	3	41	假
tɕiɑ	7	24	甲
tɕiɐɔ	1	33	交焦
tɕiɐɔ	2	13	橋
tɕiɐɔ	5	45	叫
tɕiɐɔ	6	21	轎
tɕiəɯ	2	13	球
tɕiəɯ	3	41	酒九
tɕiəɯ	6	21	舅舊
tɕiɛ	7	24	接節截結
tɕiɪ̃	1	33	尖肩
tɕiɪ̃	2	13	鉗錢前全
tɕiɪ̃	3	41	剪
tɕiɪ̃	5	45	劍建健見
tɕiɪ̃	6	21	件健
tɕy	1	33	豬
tɕy	2	13	除渠錘
tɕy	3	41	舉主
tɕy	5	45	句劇
tɕy	6	21	柱住櫃
tɕy	7	24	橘菊局
tɕyəi	2	13	垂
tɕyəi	5	45	追
tɕyn	1	33	均軍
tɕyn	2	13	裙
tɕyn	3	41	准
tɕyɑ	1	33	抓
tɕyɑ	2	13	茄
tɕyæ	7	24	絕決
tɕʰi	3	41	取
tɕʰi	5	45	契戲器氣
tɕʰi	7	24	七
tɕʰia	7	24	吃
tɕʰiã	1	33	親清輕青
tɕʰiã	3	41	淺
tɕʰin	5	45	浸慶
tɕʰio	7	24	雀
tɕʰioŋ	3	41	搶
tɕʰiəɯ	7	24	曲
tɕʰiɛ	5	45	去
tɕʰiɛ	7	24	傑切
tɕʰiɪ̃	1	33	簽牽鉛
tɕʰiɪ̃	5	45	欠
tɕʰy	1	33	區吹
tɕʰy	7	24	出
tɕʰyn	1	33	春
tɕʰyæ	7	24	缺
ɕi	1	33	西溪希
ɕi	3	41	洗喜
ɕi	5	45	系
ɕi	7	24	習吸息惜席錫
ɕia	2	13	斜
ɕia	3	41	寫
ɕia	5	45	謝
ɕiã	1	33	星
ɕin	1	33	心新星兄兇
ɕin	2	13	行形熊雄
ɕin	5	45	興姓
ɕio	7	24	削學
ɕioŋ	3	41	想響
ɕioŋ	5	45	像向項
ɕioŋ	6	21	向
ɕiæ	7	24	錫
ɕiɑ	6	21	夏
ɕiɐɔ	1	33	簫
ɕiɐɔ	3	41	小
ɕiɐɔ	5	45	孝校笑
ɕiəɯ	1	33	修休
ɕiəɯ	5	45	袖
ɕiɛ	3	41	寫
ɕiɛ	5	45	謝
ɕiɛ	7	24	協歇
ɕiɪ̃	1	33	鮮先
ɕiɪ̃	2	13	嫌
ɕiɪ̃	3	41	險顯選
ɕiɪ̃	5	45	線
ɕiɪ̃	6	21	現縣
ɕy	1	33	書輸
ɕy	2	13	徐
ɕy	3	41	鼠許水
ɕy	5	45	豎
ɕy	6	21	樹
ɕyɐɛ	1	33	靴
ɕyn	1	33	熏
ɕyn	2	13	純
ɕyn	6	21	順
ɕyæ	7	24	雪血
ȵi	2	13	泥
ȵi	5	45	義
ȵi	7	24	日
ȵiɐɛ	2	13	黏
ȵin	2	13	銀
ȵioŋ	2	13	娘
ȵiɐɔ	3	41	鳥
ȵiəɯ	2	13	牛
ȵiəɯ	7	24	肉
ȵiɛ	7	24	孽捏
ȵiɪ̃	2	13	嚴言年
ȵiɪ̃	5	45	蟻驗
ȵiɪ̃	6	21	念
ȵy	3	41	女
kɐɛ	1	33	該街
kɐɛ	3	41	改解
kɐɛ	5	45	蓋戒
kã	1	33	間
kã	3	41	減
kã	5	45	監
ko	1	33	歌
ko	3	41	果
ko	5	45	個
ko	7	24	鴿割各郭角
koŋ	1	33	鋼光
koŋ	3	41	講
ku	1	33	箍
ku	3	41	古
ku	5	45	過
ku	7	24	穀
kuɐɛ	3	41	拐
kuɐɛ	5	45	怪
kuã	1	33	關
kuəi	1	33	規龜
kuəi	3	41	鬼
kuəi	5	45	桂貴
kuəi	6	21	櫃
kuəi	7	24	骨
kuæ	7	24	國
kuɑ	1	33	瓜
kuɑ	5	45	掛
kuɑ	7	24	刮
kuən	1	33	公宮恭
kuən	3	41	滾
kuən	5	45	共
kuən	6	21	共
kæ	7	24	格隔
kɑ	5	45	嫁
kɑ	7	24	夾
kɐɔ	1	33	高
kɑŋ	1	33	更
kɑŋ	3	41	梗
kən	1	33	根耕
kɛ	1	33	鉤
kɛ	3	41	狗
kɛ	5	45	鋸夠
kø̃	1	33	甘肝奸官關
kø̃	3	41	感敢
kø̃	5	45	慣
kʰɐɛ	1	33	開
kʰiɪ̃	3	41	肯
kʰo	3	41	可
kʰo	5	45	課
kʰo	7	24	渴闊殼
kʰoŋ	1	33	糠筐
kʰoŋ	2	13	狂
kʰu	3	41	苦
kʰu	5	45	褲
kʰu	7	24	哭
kʰuɐɛ	3	41	塊
kʰuɐɛ	5	45	快
kʰuəi	1	33	虧
kʰuəi	3	41	跪
kʰuən	5	45	困
kʰæ	7	24	刻客
kʰɐɔ	1	33	敲
kʰɐɔ	5	45	靠
kʰɑŋ	1	33	坑
kʰən	3	41	肯孔
kʰɛ	3	41	口
kʰø̃	1	33	寬
kʰø̃	5	45	看
xɐɛ	2	13	鞋還
xɐɛ	3	41	海蟹
xɐɛ	6	21	害
xã	2	13	含
xã	3	41	喊
xã	5	45	限
xo	2	13	河
xo	3	41	火
xo	5	45	貨
xo	6	21	禍
xo	7	24	盒活鶴霍或
xoŋ	1	33	慌方
xoŋ	2	13	房防
xoŋ	3	41	紡
xoŋ	5	45	放
xæ	7	24	黑
xɑ	1	33	蝦
xɑ	6	21	下
xɑ	7	24	瞎
xɐɔ	3	41	好
xɐɔ	6	21	號
xən	1	33	烘
xən	5	45	恨
xɛ	6	21	後厚
xø̃	1	33	歡翻
xø̃	2	13	鹹還
xø̃	5	45	漢
xø̃	6	21	汗換
ŋɐɛ	2	13	岩
ŋɐɛ	3	41	矮
ŋɐɛ	5	45	愛
ŋã	2	13	顏
ŋã	3	41	眼
ŋo	2	13	鵝
ŋo	6	21	餓
ŋæ	7	24	額
ŋɑ	2	13	牙
ŋɑ	3	41	啞
ŋɑ	7	24	鴨
ŋɐɔ	2	13	熬
ŋɑŋ	6	21	硬
ŋən	1	33	恩
ŋɛ	3	41	藕
ŋø̃	1	33	安
ŋø̃	5	45	暗
ŋø̃	6	21	岸
ɐɛ	2	13	兒
ɐɛ	3	41	耳
ɐɛ	6	21	二
i	1	33	衣
i	2	13	移姨
i	5	45	藝意
i	7	24	一益
ia	6	21	夜
iã	1	33	音
iã	2	13	贏
iã	3	41	影
in	1	33	音蠅
in	2	13	人迎榮營容
in	3	41	引隱影擁
in	5	45	任印
in	6	21	認用
io	7	24	弱約藥
ioŋ	1	33	秧
ioŋ	3	41	癢
ioŋ	6	21	讓樣
iæ	7	24	業
iɑ	2	13	爺
iɑ	3	41	野
iɐɔ	1	33	腰
iɐɔ	2	13	搖
iɐɔ	3	41	繞
iɐɔ	5	45	要
iəɯ	1	33	優
iəɯ	2	13	油
iəɯ	3	41	有
iəɯ	5	45	幼
iəɯ	6	21	右
iəɯ	7	24	裕育褥浴
iɛ	2	13	爺
iɛ	7	24	葉熱
iɪ̃	1	33	煙
iɪ̃	2	13	炎鹽延
iɪ̃	5	45	厭
o	7	24	惡握
oŋ	2	13	黃王
oŋ	3	41	網
oŋ	5	45	旺
u	1	33	烏
u	2	13	吳
u	3	41	五武
u	5	45	霧
u	7	24	物屋
uɐɛ	1	33	歪
uɐɛ	6	21	外
uã	2	13	頑
uã	3	41	晚
uã	6	21	萬
uəi	2	13	危圍
uəi	3	41	尾
uəi	5	45	衛胃
uəi	6	21	位味
uɑ	3	41	瓦
uɑ	7	24	滑挖襪
uən	1	33	溫
uən	6	21	問運
y	2	13	如魚余
y	3	41	雨
y	5	45	遇玉
y	6	21	芋
y	7	24	入
yn	2	13	勻雲
yn	3	41	永
yn	5	45	運
yn	6	21	閏
yæ	7	24	熱月越
ən	1	33	翁
ɤ	2	13	兒
ø̃	1	33	彎冤
ø̃	2	13	完圓原園
ø̃	3	41	染碗軟遠
ø̃	5	45	院
