#漢字	音標	解釋
□	ɡia1	播撒
庵	am1	
康	kʰaŋ1	
厦	e4	
廚	tu2	
廠	tsʰiõ3	
廣	kuaŋ3	
廳	tʰiã1	
建	kən5	
引	in3	
弟	ti4	
張	tiõ1	
強	kʰiaŋ2	
彈	tuã2	
形	hin2	
彩	tsʰai3	
彭	pʰẽ2	
影	ŋiã3	電影
影	in3	影子
律	lit8	
後	au4	
得	tət7	
徙	sua3	
徛	kʰia4	站
徵	tsin1	
德	tət7	
心	sim1	
忍	lun3	
志	tsi5	
忙	baŋ2	
忠	tioŋ1	
快	kʰuai5	
思	su1	
急	kip7	
怨	ɡuan5	
怪	kʰuai5	
恨	hin4	
恩	ɡun1	
恭	kioŋ1	
息	sit7	
悔	hui3	
悲	pui1	
情	tsin2	
惜	sit7	
惡	ok7	
惱	naũ3	
想	siõ4	
愁	tsʰiu2	
意	i5	
愛	aĩ5	
感	kam3	
態	tʰai5	
慘	tsʰam3	
慣	kuan5	
慶	kʰin5	
憂	ɡiu1	
憐	lən2	
應	in1	
懸	kuan2	
戀	lən4	
戍	tsʰu5	
成	sin2	
我	ɡua3	
戒	kai5	
戰	tsən5	
戲	hi5	
戴	ti5	
户	hɔ4	
房	paŋ2	
所	suo3	
扁	pĩ3	扁扁
扁	pan3	扁食
扇	sĩ5	
手	tsʰiu3	
才	tsai2	
扣	kʰau5	
批	pʰie1	
抄	tsʰau1	
把	pe3	
抱	pʰuo4	
抽	tʰiu1	
拆	tʰia5	
拍	pʰa5	
拖	tʰua1	
招	tsio1	
拜	pai5	
拳	kun2	
指	tsai3	
挽	ban3	
捐	kən1	
捲	kuĩ3	
捷	tsiap8	
掀	hən1	
掃	sau5	
掌	tsioŋ3	
排	pai2	
掘	kut8	
掛	kue5	
接	tsiap7	
插	tsʰa5	
換	ŋuã1	
損	sun3	
摇	ɡio2	
搬	puã1	
搶	tsʰiõ3	
摺	tsi5	
擔	tã1	
擘	pe5	
攝	hip7	
攪	kiau3	
支	ki1	
收	siu1	
改	kai3	
放	paŋ5	
政	tsin5	
故	kɔ5	
效	hiau4	
救	kiu5	
敗	pai4	
教	ka5	動詞
教	kiau5	教育
敢	kam3	
散	suã5	
敬	kin5	
敵	tit8	
數	sɔ5	
文	bun2	
斑	pan1	
斗	tau3	
料	liau1	
斜	tsʰia2	
斤	kin1	
新	sin1	
斷	tuan4	
方	huaŋ1	
旅	li3	
族	tsiok8	
旗	ki2	
日	lit8	日子，日頭
早	tsa3	
旺	oŋ4	
明	bin2	
易	it8	
星	tsʰẽ1	
春	tsʰun1	
是	si4	
時	si2	
晏	nuã5	
晝	tau5	
普	pʰɔ3	
暖	nuĩ3	
暗	am5	
暫	tsiam4	
曆	lit8	
曝	pʰak8	
更	kin1	
書	si1	
替	tʰie5	
會	hue4	開會
會	ie4	不會
月	ɡue4	
有	u4	
服	hok8	
望	baŋ4	
朝	tiau1	
木	bok8	
本	pun3	
杉	sam1	
李	li3	
材	tsʰai2	
村	tsʰun1	
束	sok7	
杯	pue1	
東	taŋ1	
松	sioŋ2	
板	pan3	
枕	tsim3	
林	nã2	
林	lim2	
林	lin2	
果	kuo3	果子，水果
枝	ki1	
枵	ɡiau1	
柄	pin3	
柑	kam1	
柱	tʰiau4	
柳	liu3	
柴	tsʰa2	本字樵
柿	kʰi4	
校	hiau4	
根	kin1	
格	ke5	
栽	tsai1	
桂	kui5	
桃	tʰuo2	
案	an5	
桌	tuo5	
桶	tʰaŋ3	
桸	hia1	杓子
梁	liaŋ2	
梅	bue2	
條	tiau2	
梨	lai2	
梯	tʰui1	
梳	sue1	
棄	kʰi5	
棉	mĩ2	
棋	ki2	
棗	tsuo3	
棚	pẽ2	
棺	kuã1	
椅	i3	
椒	tsio1	
椿	tsʰun1	
楊	ŋiõ2	
業	ɡiap8	
榜	paŋ3	
槍	tsʰiaŋ1	
槳	tsiõ3	
槽	tsʰau2	
樂	lok8	快樂
樂	ɡiak8	音樂
樓	lau2	
標	piau1	
模	mɔ̃2	
樵	tsʰa2	
樹	tsʰiu5	
橄	kã3	
橋	kio2	
機	ki1	
橫	huẽ2	
檀	tʰan2	
檢	kiam3	
權	kʰən2	
欖	nã3	
欠	kʰiam5	
欺	kʰi1	
款	kʰuan3	
歇	hio5	
歉	kʰiam5	
歌	kuo1	
歡	huã1	
正	tsiã1	正月
正	tsiã5	
步	pɔ1	一步
步	pɔ4	進步
武	bu3	
歲	hue5	
歷	lit8	
歸	kui1	
死	si3	
殊	su2	
殺	sat7	
殼	kʰak7	
母	buo3	
毒	tok8	
比	pi3	
毛	muõ2	
毯	tʰam3	
民	bin2	
氣	kʰi5	天氣
氣	kʰui5	受氣
水	tsui3	
永	ɡioŋ3	
汁	tsiap7	
求	kʰiu2	求人，求神
汗	han4	
汝	li3	你
江	kaŋ1	
池	ti2	
決	kuat7	
沃	ak7	
沉	tim2	
沕	bi5	躲
沙	sua1	
河	huo2	
油	ɡiu2	
治	tie4	
泅	siu2	
泉	tsʰuan2	泉州，礦泉
法	huat7	
泡	pʰau5	
波	puo1	
泰	tʰai5	
洗	sie3	
洞	toŋ4	
活	ɡua4	
派	pʰai5	
流	lau2	
浴	ɡiok8	
海	hai3	
消	siau1	
涼	liaŋ2	
深	tsʰim1	
淹	ɡiam1	
淺	tsʰən3	
添	tʰĩ1	
添	tʰiam1	
清	tsʰin1	
減	kiam3	
港	kaŋ3	
湖	hɔ2	
湯	tʰŋ̍1	
準	tsun3	
溝	kau1	
溪	kʰie1	
溫	ɡun1	
滅	bət8	
滑	kut8	
滴	ti5	
滷	lɔ3	
滚	kun3	
滿	muã3	
漆	tsʰat7	
漏	lau1	
演	ɡən3	
漳	tsiaŋ1	
漿	tsiõ1	
潑	pʰua5	
潭	tʰam2	
激	kit7	
濕	sip7	
灣	uan1	
火	hue3	
灰	hue1	灰芋
灰	hui1	石灰
災	tsai1	
炊	tsʰue1	
炎	ɡiam2	
炒	tsʰa3	
炭	tʰuã5	
炮	pʰau5	
爲	ɡui2	
烊	ŋiõ2	
烏	ɔ1	
無	buo2	
煎	tsən1	煎藥
煎	tsuã1	煎魚
煙	ɡən1	
煤	bue2	
照	tsio5	
煩	huan2	
煮	tsi3	
熊	him2	
熱	ɡət8	
燈	tin1	
燒	sio1	
燕	ĩ5	
燙	tʰŋ̍5	
營	ɡin2	
燭	tsiok7	
爐	lɔ2	
爛	nuã1	
爬	pe2	
爭	tsin1	
父	pu4	伯父
父	hu4	
爿	pan2	
牀	tsʰŋ̍2	
牆	tsʰiõ2	
片	pʰĩ5	
牌	pai2	
牙	ɡe2	
牛	ɡu2	
物	mĩ4	
牯	kɔ3	
特	tʰət8	
牽	kʰan1	
犯	huan4	
狀	tsuaŋ4	
狗	kau3	
猛	bin3	
猴	kau2	
獅	sai1	
獎	tsiaŋ3	
獨	tok8	
獸	siu5	
獻	hən5	
玉	ɡiok8	
王	oŋ2	
珍	tsin1	
珠	tsiu1	目珠
珠	tsu1	珍珠
班	pan1	
現	hən4	
球	kʰiu2	
理	li3	
琴	kʰim2	
環	kʰuan2	
瓜	kue1	
瓤	nŋ̍2	
瓦	ɡue4	
甌	au1	小碗
甕	aŋ5	
甜	tiam2	
生	sẽ1	生日
産	tsʰan3	
用	ɡioŋ4	
甲	ka5	
界	kai5	
留	lau2	
畢	pit7	
番	han1	蕃薯
畫	ɡue1	
當	taŋ1	當然
當	taŋ5	典當
疊	tʰa4	
疼	tʰiã5	
疾	tsit8	
病	pẽ1	
痣	ki5	
痱	pui5	
痲	muã2	
療	liau2	
癢	tsiõ4	
發	huat7	
白	pe4	
百	pe5	
的	tit7	
皇	hoŋ2	
皮	pʰue2	
盆	pʰun2	
盒	ap8	
監	kã1	
盤	puã2	
目	bak8	目珠
目	bok8	題目
直	tit8	
相	siaŋ1	
省	sẽ3	
省	sin3	
眉	bue2	
看	kʰuã5	
真	tsin1	
眠	bin2	
眾	tsioŋ5	
睡	sui4	
督	tok7	
睭	tsiu1	目珠
知	tsai1	
矩	ki3	
矮	ie3	
石	tsio4	石頭
石	sit8	雁石
破	pʰua5	
硬	ŋẽ1	
碑	pue1	
碗	ŋuã3	
確	kʰak7	
磚	tsuĩ1	
磨	bua2	
礦	kʰuaŋ5	
礦	kʰoŋ5	
社	sia4	
祖	tsɔ3	
祝	tsiok7	
神	sin2	
票	pʰio5	
禍	huo4	
福	hok7	
禮	lie3	
禾	ɡue2	
秀	siu5	
私	su1	
秋	tsʰiu1	
科	kʰuo1	
秒	miaũ3	
租	tsɔ1	
秧	ŋ̍1	
税	sue5	
種	tsioŋ3	種類
種	tsioŋ5	種樹
稱	tsʰin5	
穀	kok7	
積	tsit7	
穩	ɡun3	
究	kiu5	
空	kʰaŋ1	
穿	tsʰuĩ1	
窗	tʰaŋ1	
窟	kʰut7	
窮	kʰioŋ2	
窰	ɡio2	
竈	tsau5	
立	lip8	
站	tsam4	
章	tsaŋ1	
童	tʰoŋ2	
竹	tiok7	
笑	tsʰio5	
符	hu2	
第	tie4	
筆	pit7	
等	tan3	
筍	sun3	
答	tap7	
策	tsʰe5	
算	suĩ5	
管	kuan3	
箬	hio4	
箭	tsĩ5	
箱	siõ1	
箸	ti1	
節	tsie5	五月節
節	tsat7	一節
節	tsət7	教師節
範	huan4	
篇	pʰən1	
篙	kuo1	
篩	tʰai1	動詞
篾	bi4	
簡	kan3	
簪	tsam1	
簫	siau1	
簽	tsʰiam1	
籃	nã2	
籠	loŋ2	
籤	tsʰiam1	
米	bi3	
籽	tsi3	種子
粉	hun3	
粒	liap8	
粗	tsʰɔ1	
粟	tsʰiok7	
精	tsiã1	味精
精	tsin1	味精
粿	kue3	
糉	tsaŋ5	
糕	kuo1	
糖	tʰŋ̍2	
糜	muẽ2	
糟	tsau1	
糶	tʰiau5	
紅	aŋ2	
紐	liu3	
純	sun2	
紙	tsua3	
級	kip7	
素	sɔ5	
索	suo5	
細	sie5	
紹	siau4	
終	tsioŋ1	
結	kat7	打結
結	kət7	結束
統	tʰoŋ3	
絲	si1	
綑	kʰun3	
經	kin1	
綠	liok8	
維	ɡui2	
網	baŋ4	
緊	kin3	
線	suã5	
緣	ɡuan2	
編	pən1	
練	lən4	
縛	pak8	
縣	kuĩ1	
縫	hoŋ2	
縫	pʰaŋ5	
總	tsoŋ3	
績	tsit7	
續	siok8	
纏	tĩ2	
缺	kʰuat7	
罐	kuan5	
罪	tsue4	
罰	huat8	
罵	mẽ5	
羅	luo2	
羊	ŋiõ2	
群	kʰun2	
翁	aŋ1	
習	sip8	
翼	sit8	
老	luo3	
老	lau3	
考	kʰuo3	
耳	hi4	
聘	pʰin5	
聞	bun2	
聰	tsʰoŋ1	
聲	siã1	
職	tsit7	
聽	tʰiã1	
肚	tɔ3	
肝	kuã1	
肥	pui2	
肩	kan1	
肯	kʰin3	
育	ɡiok8	
肺	hi5	
胃	ɡui3	
背	pue5	背後
背	pue4	背誦
胎	tʰai1	
胞	pau1	
胸	hioŋ1	
能	lin2	
脅	hiap8	
脊	tsia5	
脱	tsʰui5	
腐	hu1	
腕	ɡuan3	
腡	luo2	
腦	naũ3	
腫	tsioŋ3	
腰	ɡio1	
腸	tŋ̍2	
腹	pak7	
腿	tʰui3	
膏	kuo1	
膚	hu1	
膽	tã3	
臍	tsai2	
自	tsu4	
臭	tsʰiau5	
臺	tʰai2	
舂	tsioŋ1	
舅	ku4	
興	hin5	
舌	tsi4	
舞	bu3	
般	pan1	
船	tsun2	
良	liaŋ2	
艱	kan1	
色	sit7	
艾	hiã5	
芋	ɔ1	
花	hue1	
芳	pʰaŋ1	
芹	kʰin2	
苦	kʰɔ3	
英	in1	
茄	kio2	
茶	te2	
茸	ɡioŋ2	
草	tsʰau3	
荔	lie1	
荷	huo2	
菊	kiok7	
菖	tsʰaŋ1	
菜	tsʰai5	
華	hua2	
萬	ban1	
落	luo4	
董	toŋ3	
蒙	boŋ2	
蒜	suan5	
蓆	tsʰio4	草席
蓮	lən2	
蔗	tsiã5	
蔘	soŋ1	
蔡	tsʰai5	
蔣	tsiaŋ3	
葱	tsʰaŋ1	
蕃	han1	蕃薯
蕉	tsio1	
薄	puo4	
薑	kiõ1	
薯	tsi2	番薯
薰	hun1	
藍	lam2	
藕	ŋiaũ4	
藥	ɡio4	
蘇	sɔ1	
蘭	lan2	
虎	hɔ3	
虚	hi1	
號	huo1	
虧	kʰui1	
蛀	tsiu5	
蛇	tsua2	
蜀	tsət8	
蜂	pʰaŋ1	
蜜	bit8	
蝦	he2	
虱	sat7	
螺	lie2	
蟲	tʰaŋ2	
蟻	hia4	
蠅	sin2	
蠓	baŋ3	
蠟	la4	
血	hue5	
行	haŋ2	銀行
行	kiã2	走
行	hin2	行為
術	sio4	手術，技術
街	kie1	
衛	ɡui4	
衣	i1	
表	piau3	
衫	sã1	
袋	tai4	
被	pʰue4	
裙	kun2	
補	pɔ3	
裝	tsŋ̍1	動詞
裝	tsuaŋ1	裝潢
複	hok7	
褲	kʰɔ5	
襪	bue4	
西	sie1	
要	ɡiau5	
規	kui1	
視	si4	近視，電視
親	tsʰin1	
覽	lam3	
觀	kuan1	
角	kak7	
解	kai3	
解	ie4	不會
言	ɡən2	
計	kie5	
討	tʰuo3	
託	tʰok2	
記	ki5	
設	sət7	
許	kʰɔ3	姓氏
診	tsin3	
試	tsʰi5	
話	ɡue1	
該	kai1	
詳	siaŋ2	
認	lin1	
誓	si4	
課	kʰuo5	
調	tiau2	
調	tiau4	
談	tʰam2	
請	tsʰiã3	
諒	liaŋ4	
論	lun4	
謙	kʰiam1	
講	koŋ3	
謝	tsia1	姓氏
謝	sia1	多謝
證	tsin5	
識	sit7	
警	kin3	
護	hɔ4	
讀	tʰak8	
變	pən5	
讓	ŋiõ1	
豆	tau1	
豐	hoŋ1	
豬	ti1	
貌	maũ4	
貝	pue5	
負	hu4	
財	tsai2	橫財，財源
貨	hue5	
貪	tʰam1	
責	tsit7	
貴	kui5	
買	bie3	
貸	tai5	
費	hui5	
資	tsu1	
賊	tsʰat8	
賠	pue2	
賢	hən2	
賣	bie1	
質	tsit7	
賭	tɔ3	
賴	naĩ5	
賽	sai5	
赤	tsʰia5	
走	tsau3	
赴	hu5	
起	kʰi3	
趁	tʰan5	
趙	tio4	
足	tsiok7	
跡	tsit7	
跪	kui4	
路	lɔ1	
跳	tʰiau5	
踢	tʰat7	
身	sin1	
車	tsʰia1	
軍	kun1	
軟	nuĩ3	
較	kiau5	
載	tsai5	
輕	kʰin1	
輩	pue5	
輪	lun2	
輸	su1	輸贏，運輸
轉	tuĩ3	
辛	sin1	
辣	lua4	
辦	pan4	
辮	pən4	
迎	ŋiã2	
近	kin4	
退	tʰui5	
送	saŋ5	
透	tʰau5	
通	tʰoŋ1	
速	sok7	
連	lən2	
進	tsin5	
逼	pit7	
運	ɡun4	
遍	pən5	
過	kue5	
達	tat8	
遠	huĩ4	很遠
遠	ɡən3	永遠
適	sit7	
遮	tsia1	
遲	ti2	
遵	tsun1	
選	suan3	
邊	pĩ1	
郎	laŋ2	
部	pɔ4	
郭	kue5	
都	tɔ1	
鄉	hiõ1	
鄭	tẽ1	
鄰	lin2	
配	pʰue5	
酒	tsiu3	
酸	suĩ1	
醃	ɡiam1	
醉	tsui5	
醋	tsʰɔ5	
醒	tsʰẽ3	
醫	i1	
醬	tsiõ5	
重	taŋ4	輕重
重	tioŋ4	尊重
野	ɡia3	
量	liaŋ4	
金	kim1	
釘	tin1	鐵釘
釘	tin5	動詞
針	tsiam1	
釣	tio5	
鈍	tun4	
鉛	ɡən2	
鉢	pua5	
鉤	kau1	
鉸	ka1	
銀	ɡin2	
銅	taŋ2	
鋪	pʰɔ1	鋪著
鋪	pʰɔ5	店鋪
鋸	ki5	
錄	liok8	
錢	tsĩ2	
錦	kim3	
鍛	tuan5	
鎖	suo3	名詞，動詞
鎮	tin5	
鏡	kiã5	
鐘	tsioŋ1	
鐮	liam2	
鐲	sio4	
鐵	tʰi5	
鑼	luo2	
鑽	tsuĩ5	
鑿	tsʰak8	
長	tŋ̍2	
門	muĩ2	
開	kʰui1	
閏	lun4	閏月
閑	an2	
間	kan1	
闊	kʰua5	
關	kuẽ1	
降	kaŋ5	
限	han4	
院	ĩ1	
除	ti2	
陪	pue2	
陳	tan2	
陸	liok8	
隊	tui4	
障	tsaŋ5	
險	hiam3	
雄	hioŋ2	
集	tsip8	
雙	siaŋ1	
雙	suaŋ1	
雜	tsap8	
雞	kie1	
離	li2	
難	lan2	
雨	hɔ4	
雪	sie5	
雲	hun2	
零	lin2	
雷	lui2	
電	tən4	
震	tsin5	
霜	sŋ̍1	
露	lɔ5	
靈	lin2	
青	tsʰẽ1	
靜	tsin4	
靠	kʰuo5	
面	bin5	
革	kət7	
靴	hia1	
鞋	ie2	
韌	lun1	
韭	ku3	
音	ɡim1	
響	hiaŋ3	
頁	ɡiap8	
頂	tin3	
項	haŋ4	
順	sun4	
頓	tuĩ5	
領	niã3	
頭	tʰau2	
題	tie2	
額	hiã4	
顔	ɡan2	顏色
顧	kɔ5	
顯	hən3	
風	hoŋ1	
颺	ɡioŋ1	
飄	pʰiau1	
飛	pue1	動詞
飛	hui1	飛機
食	tsia4	吃
食	sit8	扁食
飯	puĩ1	
飲	am3	
飼	tsʰi5	
飽	pa3	
餅	piã3	
餐	tsʰan1	
餓	ɡuo4	
餜	kue3	
香	hiõ1	燒香
香	hiaŋ1	香港
馬	be3	
騙	pʰən5	
驕	kiau1	
驗	ɡiam4	
驚	kiã1	
骨	kuĩ7	
骹	kʰa1	
髓	tsʰue3	
體	tʰie3	
高	kau1	
鬆	saŋ1	
鬚	tsʰiu1	
鬥	tau5	
鬧	lau1	熱鬧
鬧	naũ4	吵鬧
鬼	kui3	
魂	hun2	
魚	hi2	
鮮	tsʰĩ1	
鱗	lan2	
鳥	tsia4	
鳳	hoŋ4	
鴉	a1	
鴨	a5	
鴿	kap7	
鵝	ɡuo2	
鹹	kiam2	
鹽	ɡiam2	
鹿	lok8	
麗	lie4	
麥	be4	
麵	mĩ4	
麻	mã2	
黃	ŋuĩ2	
黏	kɔ2	黏貼
黏	liam2	
點	tiam3	
黨	taŋ3	
鼈	pi5	
鼎	tiã3	
鼓	kɔ3	
鼠	tsʰi3	
鼻	pʰi5	
齊	tsie2	
齋	tse1	
齒	kʰi3	
龍	lioŋ2	
龜	kui1	
𢶀	tsʰue5	找
𤆬	tsʰua5	娶
𥭘	tʰai1	動詞
𧄔	tsi2	番薯
𩟗	tsiã3	
