#漢字	音標	解釋
恩	ŋɛn1	
恫	tɛn6	
恭	kɛn1	
息	si7	
恰	tɕʰia7	
悄	tsʰiɔ3	
悅	yɛ7	
悉	si7	
悔	xuɛ3-	
悔	xui3=	
悟	u6-	
悟	u5=	
悠	io1	
患	xuã5	
患	xŋ̍5	
悲	pɛ1	
悴	tsʰɛ5	
悶	mɛn5	
悼	tiɔ5-	
情	tsin2	
惋	ŋ̍3	
惑	xo7	
惜	si7	
惟	ui2	
惠	xui5	
惡	o5	
惰	to5	
惱	lɔ3	
想	siaŋ3	
惹	ȵiã3-	
愁	tsiɔ2-	
愁	tsao2=	
愈	y5	
愉	y2	
意	i5	
愚	y2	
愛	ŋɛ5	
感	kã3	
愣	lin2	
愧	kʰui5	
愷	kʰɛ3	
慈	tsɿ2	
態	tʰa5	
慌	xaŋ1-	
慌	xuaŋ1=	
慎	ʂɛn5	
慕	mõ5	
慘	tsʰã3	
慚	tsã2	
慢	mã6	
慢	mã7	～下唧：稍等一下
慣	kuã5	
慧	xui5	
慨	kʰɛ5	
慪	ŋɔ5	
慫	tsʰɛn3	
慮	lɛ5	
慰	ui5	
慶	tɕʰin6	
慷	kʰaŋ3	
憂	io1	
憎	tsʰɛn5	
憐	lin2	
憑	pin2	
憤	xuɛn5	
憨	xã1	
憫	min3	
憲	ɕĩ5	
懂	tɛn3	
懇	kʰɛn3	
應	in5	
懊	ŋɔ5	
懲	tʂʰɛn3	
懶	lã3	
懷	xua2	
懸	ʂyĩ2	
懺	tsʰã5	
懼	tʂy6-	
懼	tʂy5=	
戀	lĩ5	
戈	ko1	
戊	u6	
戌	si7	
戍	ʂy5	
戎	in2	
成	tʂɛn2	
我	ŋo3	
戒	ka5-	
戒	tɕia5=	
或	xo7	
或	xuɛ7	(又)
戚	tsʰi7	
戟	tɕi7	
戧	tsʰaŋ5	
戧	tsʰiaŋ5	歪斜不正：～對門
截	tsʰiɛ5	
戮	lao5	
戰	tɕĩ5	
戲	ɕi5	
戳	tsʰo5	
戴	tɛ5	
戶	xu6	
戽	xu5	
房	xaŋ2-	
房	xuaŋ2=	
所	so3	
扁	piaŋ3-	
扁	pĩ3	
扇	ɕĩ5	
手	ʂao3	
才	tsɛ2	
扎	tsa7	
扒	pua2	
打	ta3	
扔	yɛn2	
扛	kʰaŋ1	
扭	ȵio3	
扭	ȵio5	～來～去
扮	pã5	
扯	tʂʰua3-	
扯	tʂʰɛ3=	
扳	pã1	
扶	xu2	
扷	ŋɔ5	
批	pʰi1	
扼	ŋɛ7	
承	tʂɛn2	
抄	tsʰɔ1	
抈	yɛ3	折斷
抉	tʂyɛ7	
把	pua3	
把	pua5	刀～
把	pua6	～意：故意
抑	i7	
抓	tʂua1	
投	tiɔ2-	
投	tao2=	
抖	tiɔ3-	
抖	tao3=	
抗	kʰaŋ5	
折	ʂɛ5	～本
折	tʂɛ7	
披	pɛ1-	
披	pʰi1=	
抱	pɔ6	
抲	kʰa1	用虎口扼住
抵	ti3	
抹	mua7	
押	ŋã7-	
押	ia7=	
抽	tʂʰao1	
抿	min3	
拂	xu7	
拃	ka6	(訓讀)一～：大拇指和中指張開的長度
拄	tʂy3	
拆	tsʰua7-	
拆	tsʰɛ7=	
拇	mõ3	
拈	ȵĩ1	
拉	la1	
拌	põ6	
拍	pʰua7-	
拍	pʰɛ7=	
拎	lin2	
拐	kua3	
拒	tʂy5	
拔	pʰua7	
拖	tʰo1	
拗	ŋɔ5	
拘	tʂy1	
拙	tso7	
招	tʂɔ1	
拜	pã5	
括	kua7	
拯	tʂɛn3	
拱	kɛn3	～手
拳	tʂy2-	
拳	tʂyi2=	
拳	tʂyĩ2=	
拴	sã1	
拷	kʰɔ3	
拸	to6	堆碼
拼	pʰin1	
拾	ʂʅ5	
拿	lɛ1-	
拿	lã1=	
持	tʂʅ2	
指	tʂʅ3	動詞
指	tʂʅ7	手～頭
按	ŋã5	
挑	tiɔ1-	～選
挑	tʰiɔ1	
挖	ua7	
挨	ŋɛ2	
挪	la2=	
挪	la7=	
挫	tsʰo3	
振	tʂɛn5	
挱	sua1	張開手
挺	tʰiaŋ3-	～起：仰面；挺起(肚子)
挺	tʰin3=	
挽	uã3	
挾	ka7-	
挾	kʰɛ5-	
挾	tɕia7=	
捂	uɛ7-	
捂	u5=	
捅	tʰɛn3	
捆	kʰuɛn3	
捉	tso7	
捋	lɛ5	
捎	sɔ1	
捏	ȵiɛ7	
捐	tʂyĩ1	
捕	pu3	
捧	pʰaŋ3-	
捧	pʰɛn3=	
捨	ʂua3-	動詞，～得
捨	ʂɛ3=	動詞
捩	liɛ5	歪斜不正
捱	ŋã2	
捲	tʂyĩ3	
捶	tʂy2-	
捶	tʂyi2=	
捷	tsʰiɛ5	
捺	la7	
捻	ȵĩ6	
掀	ʂyĩ1	
掂	tĩ5	
掃	sɔ5-	
掃	sɔ3=	
掄	lɛn2	
掄	lɛn5	推搡
掇	to3	
授	ʂao5	
掉	tiɔ5	
掌	tʂaŋ3	
掏	tɔ2	
掐	kʰa7	用指甲～
排	pa2	
掘	tʂyɛ7	
掛	kua5	
掠	lio7	
採	tsʰɛ3	
探	tʰã5	
接	tsiɛ7	
控	kʰɛn5	
推	tʰɛ1	
掩	ĩ3	
措	tsʰo5	
掬	tʂy7	
揀	kã3	
揉	io2-	
揉	ʐao2=	
揍	tsʰiɔ5-	
揍	tsʰao5=	
描	miɔ2	
提	tia2-	
提	ti2=	
插	tsʰa7	
揖	i7	
揚	iaŋ2	
換	xŋ̍6	
握	u7	
揣	tʂʰyɛ3	
揩	kʰa1	
揪	tsio1	
揭	tɕiɛ7	
揮	xui1	
援	yĩ2	
揹	pɛ1	～東西
搊	tsʰiɔ1	把尿
損	sɛn3	
搓	tsʰo1	
搖	iɔ2	
搜	siɔ1-	
搜	sɔ1=	
搞	kɔ3	
搡	sɛn3	
搣	miɛ7	～開：用手指把東西剝開
搬	põ1	
搭	ta7	
搲	ua3	舀
搲	uã3	舀
搶	tsʰiaŋ3	
搽	tsua2	
摔	ɕyɛ3	
摘	tsua7-	
摘	tsɛ7=	
摛	tʂʰʅ1	伸手
摜	kuã5	
摟	lao1	
摥	tʰaŋ5	～子：泥工用來抹平的工具
摧	tsʰɛ1	
摩	mõ2	
摳	kʰɔ1	
摸	mõ1	
摻	tsʰã1	
撂	liɔ5	丟棄
撅	tʂʰyɛ3	折斷
撇	pʰiɛ3	～淡：很淡
撇	pʰiɛ7	～捺
撈	lao5	
撏	tsĩ2	
撐	tsʰaŋ1	
撒	sã3	
撓	iɔ2	
撕	sɿ1	
撞	tsaŋ6-	
撞	tsʰaŋ3=	
撣	tã2	
撤	tʂʰɛ5	
撥	pɛ7	
撩	liɔ2	
撫	xu3	
撬	tɕiɔ6-	
撬	tɕʰiɔ1=	
播	po5	
撮	tsʰɛ7-	
撮	tsʰo7=	
撰	tsõ3	
撲	pʰo7	
撳	tɕʰin3	
撼	xã5	
撾	tʂua3	一～
撿	tɕĩ3	
擁	in3	
擂	lɛ2	
擇	tsʰua5-	
擇	tsʰɛ7=	
擊	tɕi7	
擋	tõ3-	
擋	taŋ3=	
操	tsʰɔ1	
操	tsʰɔ5	曹～
擎	tɕin1	
擒	tɕin2	
擔	tã1	動詞
擔	tã5	名詞
據	tʂy5	
擠	tsi3	
擡	tɛ2	
擤	sɛn3	
擦	tsʰa7	
擬	ȵĩ3	
擱	ko7	
擲	tʂʅ7	
擴	kʰo7	
擺	pa3	
擾	iɔ3	
攀	pʰã1	
攆	ȵiã3	
攏	lɛn3	
攔	lã2	
攙	tsʰã1	
攜	ɕi2	
攝	ʂɛ7	
攢	tsã3	攢勁、用勁
攤	tʰã1	
攪	kɔ2-	
攪	tɕiɔ3=	
攬	lã3	
支	tʂʅ1	
收	ʂao1	
攸	io1	
改	kɛ3	
攻	kɛn1	
放	xaŋ5-	
放	xuaŋ5=	
政	tʂɛn5	
故	ku5	
效	ɕiɔ5	
敏	min3	
救	tɕio5	
敖	ŋɔ2	
敗	pa6	
敘	tsi5	
教	kɔ5-	～書
教	tɕiɔ5=	
敝	pɛ5	
敢	kã3	
散	sã3	
散	sã5	拿東西送人
敤	kʰo3	用手指敲打
敥	ĩ6	灑落
敦	tɛn1	
敦	tɛn5	豎立
敬	tɕin5	
敲	kʰɔ1	
整	tʂɛn3	
敵	ti7	
敷	xu1	
數	sao3	動詞
數	sao5	名詞
斂	lĩ5	
斃	pɛ5	
文	uɛn2	
斑	pã1	
斗	tiɔ3-	一～米
斗	tao3=	一～米
料	liɔ6-	
料	liɔ5=	
斜	tsia2	
斜	siɛ2	
斟	tʂɛn1	
斢	tʰiɔ3	
斤	tɕin1	
斥	tʂʰʅ3	
斧	xu3	
斬	tsã3	
斯	sɿ1	
新	sin1	
斷	tõ6-	
斷	tõ5=	
方	xaŋ1-	
方	xuaŋ1=	
於	y2	
施	ʂʅ1	
旁	paŋ2	
旅	li3	
旋	tsĩ2	
旋	tsĩ6	頭頂自然形成的髮旋
族	tsʰao7	
旗	tɕi2	
无	u2	
既	tɕĩ5	
日	ȵĩ7-	
旦	tã5	
旨	tʂʅ3	
早	tsɔ3	
旬	tsɛn2	
旮	ko7	
旯	ŋã5	
旱	xã6	
旺	uaŋ5	
昂	ŋɔ2	
昆	kʰuɛn1	
昌	tʂʰaŋ1	
明	miã1-	～日
明	min2	
昏	xuɛn1	
易	i6	容～
易	i7	交～
昔	si7	
星	siaŋ1-	
星	sin1=	
映	in5	
春	tʂʰuɛn1	
昧	mɛ5	
昨	tsõ2	
昭	tʂɔ1	
是	sɿ6-	
是	ʂʅ6	
時	ʂʅ2	
晃	xaŋ3-	
晃	xuaŋ3=	
晉	tsin5	
晏	ŋã5	
晚	mã3-	排行最小的
晚	uã3=	
晝	tʂao5	
晦	xui5	
晨	ʂɛn2	
普	pʰu3	
景	tɕin3	
晴	tsiaŋ2-	
晴	tsin2=	
晶	tsin1	
晷	kui3	
智	tʂʅ5	
暇	ɕia2	
暈	yɛn1	
暑	ʂy3	
暖	laŋ3-	～和
暖	lo3=	溫～
暗	ŋã5	
暢	tʂʰaŋ5	
暫	tsã6	
暮	mõ5	
暴	pɔ5	
曆	li7	
曉	ɕiɔ3	
曝	pɔ5	
曠	kʰaŋ5	
曩	laŋ2	
曬	sua5	
曲	tɕio7	沒弄直
曲	tɕʰio7	
更	kɛn1	
更	kɛn5	～加
曷	xo7	
書	ʂy1	
曹	tsɔ2	
曾	tsĩ1-	姓
曾	tsɛn1=	
替	tʰĩ5	
最	tsɛ5	
會	kʰua5	～計
會	xuɛ6	～開車
會	xui6	開～
月	yɛ7	
有	io3	
朋	pɛn2	
朔	so7	
朗	laŋ3	
望	uaŋ6-	
望	uaŋ5=	
朝	tʂɔ1	今～
朝	tʂɔ2	～代
期	tɕi2	
朥	lɔ1	腥臊氣
木	mõ7	
未	ui6	
本	pɛn3	
札	tsa7	
朱	tʂy1	
朵	to3	
朽	ɕio3	
杈	tsʰua1	
杉	sua1	
李	li3	
杏	ɕin5	
材	tsɛ2	
村	tsʰɛn1	
杖	tʂaŋ6-	
杖	tʂaŋ5=	
杜	tao6	
杞	tɕi5	
束	tʂʰao7	
杭	xaŋ2	
杯	pɛ1	
東	tɛn1	
杳	iɔ3	
杵	tʂʰy3	
杷	pua1	
松	sɛn1	
板	pã3	
枇	pi1	
枉	uaŋ3	
析	si7	
枕	tʂɛn3	
林	lin2	
枚	mɛ2	
果	ko3	
枝	tʂʅ1	
枯	kʰu1	
架	ka5-	
架	tɕia5=	
枸	kɔ3	
柄	pin3	
柏	pɛ7	
某	mɔ3	
柑	kŋ̍1-	
柑	kã1=	
染	ȵĩ3	
柔	io2-	
柔	ʐao2=	
柚	io5	
柞	tsʰo5	～樹
查	tsua2	
柬	kã3	
柯	kʰo1	
柱	tʂy6	
柳	lio3	
柴	tsa2	
柿	ʂʅ6	
栓	sã1	
校	ɕiɔ5	
株	tʂy1	
核	xɛ7	
根	tɕĩ1-	
根	kɛn1=	
格	kɛ7	
桂	kui5	
桃	tɔ2	
案	ŋã5	
桌	tso7	
桓	xuã2	
桶	tʰɛn3	
桿	kaŋ3-	
桿	kã3=	
梁	liaŋ2	
梂	tɕio2	串
梅	mɛ2	
梆	paŋ1	
梏	kʰu7	
梓	tsɿ3	
梔	tʂʅ1	
梗	kaŋ3-	
梗	kɛn3=	
條	tiɔ2	
梢	sɔ1	
梧	u2	
梭	so1	
梯	tʰi1	
械	ka5-	
械	tɕia5=	
梳	sao1	
棄	tɕʰi5	
棉	mĩ2	
棋	tɕi2	
棍	kuɛn5	
棒	paŋ5	
棕	tsɛn5	
棗	tsɔ3	
棚	pɛn2	
棠	taŋ2	
棣	tʰi7	
森	sɛn1	
棲	tsʰi1	
棵	lo3	
棵	kʰo3	
棺	kŋ̍1	
椅	i3	
植	tʂʰʅ7	
椏	ŋã1	
椒	tsiɔ1	
椰	ia2	
椴	tõ6	
椽	ʂyĩ2	
楊	iaŋ2	
楓	xɛn1	
楚	tsʰao3	
楝	li6	
楣	mɛ2	
業	ȵiɛ7	
極	tɕi7	
楷	kʰɛ3	
概	kʰɛ5	
榆	y2	
榜	paŋ3	
榨	tsua5	
榫	sɛn3	
榮	yɛn2	
榴	lio6	
榻	tʰa7	
構	tɕiɔ5-	～凌：結冰
構	kɔ5	
槌	tʂy2-	
槌	tʂyi2=	
槍	tsʰiaŋ1	
槐	xua2	
槓	kaŋ5	
槳	tsiaŋ3	
槽	tsɔ2	
樁	tʂʰuɛn1	
樁	tsaŋ1	
樂	lo7	快～
樂	io7	音～
樅	tsɛn2	～樹：松樹
樓	liɔ2-	
樓	lao2=	
標	piɔ1	
樞	tʂʰy1	
樞	tɕio5	
樟	tʂaŋ1	
模	mõ2	
樣	iaŋ6	
樸	pʰo7	
樹	ʂy6	
樺	xua2	
橄	kã3	
橋	tɕiɔ2	
橘	tʂy7	
橙	tʂɛn2	
橛	tʂyɛ7	
機	tɕi1	
橡	siaŋ5	
橡	siaŋ6	～膠
橫	xuɛn2	
檀	tã2	
檁	lin3	
檔	taŋ5	
檜	kʰua5	
檢	tɕĩ3	
櫃	tʂy6-	
櫃	kui6=	
櫓	lao3	
櫟	lia5	
櫻	in1	
欄	lã2	
權	tʂyĩ2	
欖	lã3	
欠	tɕʰĩ5	
次	tsʰɿ5	
欣	ɕin1	
欲	ʐao7	
欺	tɕʰia1-	
欺	tɕʰi1=	
欽	tɕʰin1	
款	kʰŋ̍3-	
款	kʰã3	
歇	ɕiɛ7	
歉	tɕʰĩ5	
歌	ko1	
歐	ȵiɔ1-	
歐	ŋɔ1=	
歡	xŋ̍1	
止	tʂʅ3	
正	tʂɛn1	～月
正	tʂɛn5	～好
此	tsɿ3	
步	pu6	
武	u3	
歧	tɕi2	
歪	ua1	
歲	sɛ5	
歷	li7	
歸	kui1	
死	sɿ3	
殃	iaŋ1	
殆	tɛ5	
殉	tsɛn5	
殉	sɛn5	
殊	ʂy2	
殖	tʂʰʅ7	
殘	tsã2	
殮	lĩ5	
殯	pin5	
殲	tsʰĩ1	
段	tõ6	
殷	in1	
殺	sa7	
殼	kʰo7	
殿	tĩ5	
毀	xui3	
毅	ȵĩ5	
母	mõ3	
每	mɛ3	
毒	tao7	
比	pi3	
毛	mɔ2	
毫	xɔ2	
毯	tʰã3	
氏	ʂʅ6	
民	min2	
氣	tɕʰi5	
水	ʂy3-	
水	ʂyi3=	
永	yɛn3	
汀	tin1	
汁	tʂʅ7	
求	tɕio2	
汆	tsʰõ1	
汊	tsʰua5	
汗	xŋ̍6-	
汗	xã6=	
汝	ɛ3	
汞	kɛn3	
江	kaŋ1	姓
江	tɕiaŋ1	
池	tʂʅ2	
污	u1	
汪	uaŋ1	
汲	tɕʰi7	
汴	pĩ5	
決	tʂyɛ7	
汽	tɕʰi5	
沁	tsʰin5	
沃	u5	
沈	ʂɛn3	
沉	tʂɛn2	
沌	tɛn5	
沏	tsʰi1	用水把火澆滅或把燒紅的東西放入水中
沒	mɛ7	
沓	tʰa7	
沕	mĩ6	～子：潛泳
沖	tʂʰɛn1	
沙	sua1	
沛	pʰɛ5	
河	xo2	
沸	xu7	
油	io2	
治	tʂʅ5	
沼	tʂɔ3	
沾	tiaŋ1-	
沾	tɕĩ1=	
沿	yĩ2	
況	kʰaŋ5	
泅	tsio2	
泉	tsĩ2	
泌	pi5	
泔	kã1	
法	xua7	
泛	xuã5	
泡	pʰɔ1	水～；形容詞，～鬆
泡	pʰɔ5	肉～及動詞
波	po1	
泣	ɕi7	
泥	ȵĩ2	
注	tʂy5	
泰	tʰa5	
泳	yɛn5	
洋	iaŋ2	
洗	si3	
洛	lo7	
洞	tɛn6	
津	tsin1	
洩	siɛ7	
洪	xɛn2	
洲	tʂao1	
活	xo5-	
活	xuɛ5-	
洽	tɕʰia7	
派	pʰa5	
流	lio2	
浙	tʂɛ7	
浜	paŋ1	
浞	tso7	
浦	pʰu3	
浩	xɔ5	
浪	laŋ6-	
浪	laŋ5=	
浮	pɔ2-	
浮	xu2=	
浴	ʐao7	
海	xɛ3	
浸	tsʰin5=	
消	siɔ1	
涉	ʂɛ7	
涎	ĩ2	
涓	tʂyĩ1	
涕	tʰi5	
涮	sã5-	漱
涮	sua7	
涯	ŋã2-	
涯	ia2	
液	i7	
涵	xã2=	
涵	xŋ̍2=	
涼	liaŋ2	
涿	tso7	
淆	ɕiɔ2	
淋	lin2	
淌	tʰaŋ3	
淑	ʂao7	
淒	tsʰi1	
淘	tɔ2	
淚	lĩ6-	
淚	lɛ5=	
淡	tã6	
淤	y1	
淨	tsin6-	
淨	tsin5=	
淪	lɛn2	
淫	in2	
淮	xua2	
深	ʂɛn1	
淵	yĩ1	
混	xuɛn3	～在一起
混	xuɛn6	～日子
淹	ĩ3	
淺	tsʰĩ3	
添	tʰĩ1	
清	tsʰiaŋ1-	
清	tsʰin1=	
渙	xŋ̍5	
減	kã3	
渠	tʂy2	
渡	tao5	
渣	tsua1	
渦	o1	
測	tsʰɛ7	
渭	ui5	
港	kaŋ3	
渴	kʰo7	
游	io2	
渺	miɔ3	
渾	xuɛn1	
渾	xuɛn3	～身
湊	tsʰiɔ5-	
湊	tsʰao5=	
湍	tʰõ1	
湖	xu2	
湧	in3	
湯	tʰaŋ1	
溉	kʰɛ5	
源	yĩ2	
準	tʂuɛn3	
溜	lio1	
溜	lio5	一～：一行
溝	tɕiɔ1-	
溝	kɔ1=	
溪	tɕʰi1	
溫	uɛn1	
溺	ȵĩ7	～水
滂	paŋ6	～泥眼：泥腳特別深的水田
滅	miɛ7	
滋	tsɿ1	
滎	yɛn2	
滑	ua5	
滓	tsɿ3	
滔	tʰɔ1	
滬	xu5	
滯	tʂʅ6-	
滯	tʂʅ5=	
滲	sɛn5	
滴	tia7-	
滴	ti7=	
滸	xu3	
滾	kuɛn1	
滿	mõ3	形容詞
漁	y2	
漂	pʰiɔ1	～浮
漂	pʰiɔ3	～白
漂	pʰiɔ5	～亮
漆	tsʰi7	
漉	lao7=	
漏	liɔ6	
漏	lao6=	
演	ĩ3	
漚	ȵiɔ5	
漚	ŋɔ5=	
漢	xã5	
漫	mã5	
漱	sao5	
漸	tsĩ5	
漿	tsiaŋ1	
潑	pʰɛ7	
潔	tɕiɛ7	
潘	pʰõ1	
潛	tsĩ2	
潤	yɛn6-	
潤	yɛn5=	
潭	tã2	
潮	tʂɔ2	
潰	kʰui5	
潲	sɔ5	
潷	pi7	～米湯
澀	tɕiɛ7	(訓讀)
澄	tʂɛn6-	
澄	tʂɛn2	
澆	tɕʰiɔ1	
澗	kã5	
澠	min3	
澡	tsɔ3	
澤	tsʰɛ7	
澧	li3	
激	tɕi7	
濁	tsʰo7	
濃	lɛn2	
濕	ʂʅ7	
濟	tsi5	
濤	tɔ2	
濫	lã5	
濯	tsʰo7	
濺	tsã5-	
濺	tsĩ5	
濾	li6-	～子：漏斗
濾	lɛ5=	
瀆	tao7	
瀉	sia5	稀：～泥巴；人變壞
瀉	siɛ7	
瀑	pʰo7	
瀚	xã5	
瀟	siɔ1	
灌	kŋ̍5	
灑	sa3	
灘	tʰã1	
灣	uã1	
火	xo3	
灰	xuɛ1	
灸	tɕio5	
災	tsɛ1	
炊	tsʰɛ1-	
炊	tʂʰyi1=	
炎	ĩ2	
炒	tsʰɔ3	
炕	kʰaŋ5	
炙	tʂua7-	烤火
炙	tʂʅ7=	
炭	tʰã5	
炮	pʰɔ5	
炸	tsua5	
烈	liɛ7	
烊	iaŋ2	
烏	u1	
烘	xɛn1	
烤	kʰɔ3	
烹	pʰɛn1	
焉	ĩ1	
焊	xã6	
焐	xuɛ5	～灰
焐	uɛ7	
焚	xuɛn2	
無	u2	
焦	tsiɔ1	
焯	tsʰõ1	～湯：做湯
焰	ĩ5	
然	yĩ2	
煉	lĩ5	
煎	tsĩ1	
煎	tsĩ5	～油：熬豬油
煙	ĩ1	
煞	sa7	
煤	mɛ2	
煥	xŋ̍5	
照	tʂɔ5	
煨	uɛ1	
煩	xuã2	
煮	tʂy3	
熄	si7	
熊	ɕin2	
熏	ʂuɛn1	
熙	ɕi1	
熛	piɔ1	火星、水等飛濺或形容跑得快
熟	ʂao5	
熨	y5	～帖
熨	yɛn5	
熬	ŋɔ2	
熱	yɛ7=	
熱	ȵĩ5=	
熹	ɕi1	
燃	yĩ2	
燈	tĩ1-	
燈	tɛn1=	
燎	liɔ2	
燐	lin2	
燒	ʂɔ1	
燕	ĩ1	～京
燕	ĩ5	～子
燙	tʰaŋ5	
營	in2	
營	yɛn2	～業
燥	tsʰɔ5	
燦	tsʰã5	
燭	tʂao7	
爆	pɔ5	
爊	ŋɔ1	～菜
爐	lao2	
爛	lã5	燦～
爛	lã6	東西壞了
爪	tsɔ3	
爬	pua2	
爬	lua2	(訓讀)
爭	tsaŋ1-	
爭	tsɛn1=	
爲	ui6-	
爲	ui2=	
爵	tsʰio5	
父	xu6	
爸	pa1	
爹	tia1-	
爹	tiɛ1=	
爺	ia2-	父親
爺	iɛ2=	
爾	ɛ3	
牆	tsiaŋ2	
片	pʰiaŋ3	(訓讀)一～：一大片
片	pʰĩ5	
版	pã3	
牌	pa2	
牒	tʰiɛ7	
牘	tao7	
牙	ŋã2-	
牙	ia2=	
牛	ȵio2	
牝	pʰin5	
牡	mɔ3	
牢	lɔ2	
牧	mõ7	
物	u7	
牯	ku3	
牲	sɛn1=	
牸	sɿ6	小母牛
牽	tɕʰĩ1	
犀	si1	
犁	li2	
犍	tɕĩ5	
犒	kʰɔ3	
犟	tɕiaŋ6	
犢	tao7	
犧	ɕi1	
犬	tʂʰyĩ3	
犯	xuã6	
狀	tsaŋ5	
狂	kuaŋ2	
狎	ɕia7	
狐	xu2	
狗	tɕiɔ3-	
狗	kɔ3=	
狠	xɛn3	
狸	li3	
狹	xa5-	
狹	ɕia7=	
狼	laŋ2	
猋	piɔ1	
猖	tʂʰaŋ1	
猛	mɛn3	
猜	tsʰã1	
猝	tsʰao7	
猩	sin3	
猬	ui5	
猴	xɔ2	
猶	io2	
猾	ua5	
獄	ʐao7	
獅	sɿ1	
獎	tsiaŋ3	
獨	tao7	
獲	xu7	
獵	liɛ7	
獸	ʂao7	
獺	tʰa7	
獻	ɕĩ5	
獾	xŋ̍1	
玄	ʂyĩ2	
率	li7	效～
率	so7	～領；表～
玉	y5	
王	uaŋ2	
玩	uã2	
玫	mɛ2	
玻	po1	
珂	kʰo1	
珊	sã1	
珍	tʂɛn1	
珠	tʂy1	
班	pã1	
現	ɕĩ5	動詞
現	ɕĩ6	～在
球	tɕio2	
理	li3	
琉	lio2	
琢	tso7	
琴	tɕin2	
琵	pi1	
琶	pua1	
瑕	ɕia2	
瑞	ʂyi5	
瑣	so3	
瑤	iɔ2	
瑰	kʰui5	
璧	pi7	
璽	ɕi3	
瓊	tʂuɛn2	
瓜	kua1	
瓠	xu5	～瓜
瓢	piɔ2	
瓣	pã6	
瓤	iaŋ1	
瓦	ua3	
瓶	pin2	
瓷	tsɿ2	
甌	ŋɔ1	
甑	tsĩ5	
甕	uɛn5	
甘	kŋ̍1-	
甘	kã1=	
甚	ʂɛn5	
甜	tĩ2	
生	sĩ1-	先～；～意
生	saŋ1-	～熟
生	sɛn1=	
產	tsʰã3	
甥	sĩ1-	
甥	sɛn1=	
用	in6-	
用	in5=	
甩	ɕyɛ3	
甫	pʰu3	
甬	in3	
田	tĩ2	
由	io2	
甲	ka7-	指～
甲	tɕia7	
申	ʂɛn1	
男	lã2	
界	ka5-	
界	tɕia5=	
畏	ui5	
留	lio2	
畜	tʂʰao7	
畜	ɕio7	～牧業
畝	mɔ3	
畢	pi7	
略	lio7	
畦	ɕi1	
番	xuã1	
畫	xua6	
異	i5	
當	taŋ1	
當	taŋ5	上～
畸	tɕi2	
疆	tɕʰiaŋ1	
疊	tʰiɛ7	
疏	sao1	
疑	ȵĩ2	
疔	tin1	
疝	sã5	
疝	ʂuɛn6	(存疑)～氣
疤	pua1	
疥	ka5-	
疫	y5	
疲	pi1	
疵	tsʰɿ1	
疹	tʂɛn3	
疼	tʰɛn2	
疾	tsi7	
痂	ka7-	
痂	tɕia1=	
病	piaŋ6-	
病	pin6=	
症	tʂɛn5	
痔	tʂʅ6	
痕	xɛn2	
痗	mɛ1	～嘎噠：精神狀態不好
痛	tʰɛn5	
痞	pʰi3	
痢	li6	
痣	tʂʅ5	
痧	sua1	
痰	tã2	
痰	tsã2	(訓讀)
痱	xui5	
痴	tʂʅ6	
痺	pʰi5	
瘋	xɛn1	
瘍	iaŋ2	
瘓	xŋ̍5	
瘟	uɛn1	
瘡	tsʰaŋ1	
瘦	siɔ5-	
瘦	sao5=	
瘧	ȵio7	
瘴	tʂaŋ5	
瘸	tʂua2	手指變形不靈活
瘸	tʂʰyɛ3	
療	liɔ2	
癆	lɔ2	
癆	lõ6	～藥：毒藥
癌	ŋã2	
癟	piɛ3	
癢	iaŋ3	
癩	la6	
癬	sĩ3	
癱	tʰã1	
癲	tĩ1	
癸	kui5	
登	tɛn1	
發	xua7	
白	pʰua5-	
白	pɛ7=	
百	pɛ7	
皂	tsɔ3	
的	ti7	
皆	ka1	
皇	xaŋ2-	
皇	uaŋ2-	(又)
皇	xuaŋ2=	
皖	xŋ̍3	
皮	pi1	
皴	tsʰɛn1	
皺	tsiɔ5-	
皺	tsao5=	
皿	min3	
盂	y2	
盅	tʂɛn1	
盆	pɛn2	
盈	in2	
益	i7	
盒	xuɛ5-	
盒	xo5=	
盔	kʰui1	
盛	ʂɛn2	～飯
盛	ʂɛn5	興～
盜	tɔ6	
盞	tsã3	量詞
盞	tsã6	名詞
盟	min2-	
盟	mɛn2=	
盟	maŋ2=	
盡	tsin6-	全
盡	tsin5=	
監	kã5	
盤	põ2	
盧	lao2	
盪	tʰaŋ3	把水放入容器中搖動
目	mõ7	
盲	maŋ2	
直	tʂʰʅ5	
相	siaŋ1	互～
相	siaŋ5	～片
盼	pʰã5	
盾	tɛn5	
省	saŋ3-	～惜：節約
省	sɛn3=	
眉	mɛ2-	
眉	mĩ2=	
看	kʰŋ̍5-	
看	kʰã5=	
真	tʂɛn1	
眠	mĩ2	
眨	tsa7	
眩	ʂyĩ2	
眶	tɕʰiaŋ1	
眷	tʂyĩ5	
眺	tʰiɔ5	
眼	ŋã3-	
眼	iã3=	
眾	tʂɛn5	
着	tʂo5	
睏	kʰuɛn5	
睛	tsin1	
睜	tsaŋ1-	
睜	tsɛn1=	
睡	ʂyi5	
睪	kʰɔ3-	～巴：睪丸
睪	kɔ1=	
睫	tsi7-	
睫	tsʰiɛ5=	
睬	tsʰɛ3	
睬	sɛ7	(訓讀)不～起他：不把他放在眼裏
瞄	miɔ2	
瞇	mĩ1	
瞎	xa7-	
瞎	ɕia7=	
瞞	mõ2	
