#漢字	音標	解釋
向	ʃɔŋ5	
君	kuæ1	
吞	/	
吠	/	
吵	tsʰɑ3	
吹	kʰui1	
告	kɤ5	
周	tsu1	
味	vi6	
命	miŋ6	生命
命	miŋ6	革命
和	vɑi2	
品	pʰiæ3	
員	viŋ2	
哲	tʃiæ6	
唱	tʃʰɔŋ5	
問	mæ5	
問	/	
啞	o3	
善	siŋ6	
喉	/	
喘	/	
喜	hi3	
單	təŋ1	被單
單	təŋ1	單獨
嗽	/	
噴	pʰæ5	
嚇	ho6	
嚴	ŋəŋ2	
四	sɿ5	
囝	kiŋ3	
因	æ1	
囥	/	
國	kɔ6	
園	vi2	
園	viŋ2	菜園
園	viŋ2	西園鎮
園	viŋ2	公園
圓	viŋ2	
圖	tu2	
團	tʰəŋ2	
土	tʰu3	
地	ti6	
均	kiæ1	
坐	tsʰɑi1	
坑	kʰəŋ1	
坪	pʰiŋ2	
城	tʃʰiæ2	
基	ki1	
堂	tɔŋ2	
堂	tɔŋ2	食堂
報	pɤ5	
場	tʃʰɔŋ2	
塍	/	田
塔	tʰo6	
墓	/	
增	tsæ1	
墟	/	
墨	miæʔ8	
壁	piɑ6	
壓	o6	
壩	/	
壺	fu2	
壽	ʃu6	
外	ŋiɑ6	
外	ŋuɑi6	
多	tɑ1	
够	kio5	
夢	mɑŋ5	
大	tɑ6	
天	tʰiŋ1	
太	tʰɑ5	
太	tʰɑi5	
央	iɔŋ1	
失	ʃiæ6	
奇	kʰi2	
奉	/	
套	tʰɤ5	
女	ŋy3	婦女
奸	kəŋ1	
好	hɤ3	
妗	kiæʔ8	嬸嬸
妹	mɑi5	
姆	/	嬸嬸
姑	ku1	
姓	siŋ5	
委	vi3	
姨	i2	
威	vi1	
娘	ŋiɔŋ2	
娶	/	
婆	pɤ2	
婚	fæ1	
婦	pʰu6	媳婦
婦	fu6	婦女
婿	si5	女婿
嫁	ko5	
嫂	sɤ3	
嫌	həŋ2	
嬰	/	
嬴	ŋiŋ2	
子	tsi3	種子
子	tsɿ3	君子
字	tsɿ6	
孝	hɑ5	
孝	/	
季	kui5	
孫	sæ1	
學	hɤʔ8	動詞
學	hɤʔ8	學習
守	ʃu3	
安	əŋ1	
宗	tsɑŋ1	
官	kuŋ1	
定	tæ6	
客	kʰo6	
室	ʃiæ6	
宮	kiɔŋ2	
害	hɑi6	
家	ko1	
容	iɔŋ2	
寄	ki5	
密	miæʔ8	
富	fu5	
寒	həŋ2	
察	tsʰɑ6	
實	tʃiæʔ8	
寫	siɑ3	
寶	pɤ3	
寸	tsʰæ5	
封	hɑŋ1	
射	ʃo6	
將	tsiɔŋ1	
專	kuiŋ1	
尊	tsæ1	
小	sio3	
少	ʃɤ3	
尖	/	
尚	ʃɔŋ6	
尺	tsʰo6	
尾	mɑi3	
尿	ŋiɤ6	
局	kiɔʔ8	
屁	pʰi5	
屈	kʰuai6	
屋	ɔ6	
屎	ʃʅ1	
屐	kiɑʔ8	
展	tʃiæ3	
層	tsæ2	
山	səŋ1	
島	tɑu3	
崎	/	
巖	ŋəŋ2	
州	tsu1	
工	kɑŋ1	
巧	/	
差	tʃʰo1	
差	tsɑ1	出差
己	ki3	
巷	haŋ5	
巾	kyæ1	
市	ʃɿ6	
布	pu5	
希	hi1	
帖	tʰi6	
帚	tsʰu3	
帝	ti5	
師	sɿ1	師傅
師	sɿ1	老師
席	sɑiʔ8	
席	tsʰiɑʔ8	草席
帳	tʃɔŋ5	
帶	tɑ5	
帶	/	
帽	mɤ6	
幣	pi6	
幫	pɔŋ1	
平	piŋ2	很平
平	piŋ2	平安
年	niŋ2	
幸	hiŋ6	
幼	iu5	
幾	/	
底	ti3	
店	tiŋ5	
府	fu3	
庵	əŋ1	
康	kʰɔŋ1	
厦	ho1	
廚	ky2	
廠	tsʰɔŋ3	
廣	kɔŋ3	
廳	tʰæ1	
建	kuiŋ5	
引	æ3	
弟	tʰi6	
張	tʃɔŋ1	
強	kiɔŋ2	
彈	təŋ2	
形	hæ2	
彩	tsʰɑ3	
彭	/	
影	ɔŋ3	電影
影	ɔŋ3	影子
律	/	
後	hio6	
得	tɑi6	
得	/	記得
得	/	得獎
徙	/	
徛	kʰi6	站
徵	/	
德	tɑi6	
心	sæ1	
忍	ŋyæ3	
忍	/	
志	tʃʅ5	
忙	mɔŋ2	
忠	tsɑŋ1	
快	kʰuɑi5	
思	sɿ1	
急	kiæ6	
怨	/	
怪	kuɑi5	
恨	hiŋ6	
恩	æ1	
恭	kiɔŋ1	
息	sɑi6	
悔	fɑi3	
悲	pi1	
情	/	
情	tsæ2	人情
情	tsɑi2	情況
惜	sɑi6	
惡	ɤ6	
惱	/	
想	siɔŋ3	
愁	tsʰu2	
愁	sio2	
意	i5	
愛	ɑi5	
感	kəŋ3	
態	tʰɑ5	
慘	tsʰəŋ3	
慣	kuŋ5	
慶	kʰiæ5	
憂	iu1	
憐	niŋ2	
應	æ1	
懸	/	
戀	/	
戍	/	
成	tʃʰiæ2	
我	ŋɑ6	
戒	ki5	
戰	tsiŋ5	
戲	hi5	
戴	tɑ5	
戴	tɑi5	
户	fu6	
房	pɑŋ2	
房	fɔŋ2	
所	sɤ3	
扁	/	扁扁
扁	piŋ3	扁食
扇	ʃiŋ5	
手	tsʰu3	
才	tsʰɑi2	
扣	/	
批	/	
抄	/	
把	po3	
抱	/	
抽	tsʰu1	
拆	tʃʰo6	
拍	/	
拖	tʰɑ1	
招	tʃɤ1	
拜	pi5	
拳	kuæ2	
指	/	
挽	/	
捐	kiŋ1	
捲	kʰuæ3	
捷	/	
掀	/	
掃	sɤ5	
掌	tsɔŋ3	
排	pi2	
掘	kuɑiʔ8	
掛	ko5	
接	tsi6	
插	/	
換	/	
損	sæ3	
摇	iɤ2	
搬	pəŋ1	
搶	tsʰiɔŋ3	
摺	tʃi6	
擔	təŋ1	
擘	po6	
攝	/	
攪	/	
支	ki1	
收	ʃu1	
改	kɑi3	
放	piɔŋ5	
放	/	藏
放	fɔŋ5	
政	tʃiæ5	
故	ku5	
效	/	
救	kiu5	
敗	pɑ6	
教	kiɑu5	動詞
教	kiɑu5	教育
敢	kəŋ3	
散	səŋ3	
敬	kiŋ5	
敵	/	
數	sɿ5	
文	væ2	
斑	pəŋ1	
斗	tio3	
料	lɑ6	
斜	tsʰiɑ2	
斤	kiæ1	
新	sæ1	
斷	/	
方	fɔŋ1	
旅	/	
族	tsɔʔ8	
旗	ki2	
日	ŋiæʔ8	日子
日	ŋiæʔ8	日頭
早	tsɤ3	
旺	vɔŋ6	
明	miæ2	
易	ɑi8	
星	sæ1	
春	kʰyæ1	
是	hi6	
是	ʃʅ6	
時	ʃɿ2	
晏	/	
晝	tio5	
普	pʰu3	
暖	nəŋ3	
暗	əŋ5	
暫	tsiaŋ6	
曆	/	
曝	/	
更	kəŋ1	
書	fy1	
替	tʰi5	
會	fɑi6	開會
會	fɑ8	不會
月	ŋuiʔ8	
有	hio1	
服	hɔʔ8	
望	/	
望	/	看
朝	tʃɤ1	
木	mɔʔ8	
本	pæ3	
杉	səŋ1	
李	li3	
材	tsʰɑi2	
村	tsʰæ1	
束	/	
杯	pɑi1	
東	tɑŋ1	
松	ʃɔŋ1	
板	pəŋ3	
枕	tʃiæ3	
林	læ1	
林	/	
果	kɤ3	果子
果	kɤ3	水果
枝	ki1	
枵	/	
柄	piŋ5	
柑	kəŋ1	
柱	kʰy1	
柳	liu3	
柴	/	本字樵
柿	kʰie6	
校	/	
根	kyæ1	
格	kiæ6	
栽	tsi1	
桂	kui5	
桃	tʰɤ2	
案	əŋ5	
桌	tsɤ6	
桶	tʰɑŋ3	
桸	/	杓子
梁	liɔŋ2	
梅	mɑi2	
條	tɑ2	
梨	li2	
梯	tʰɑi1	
梳	fy1	
棄	kʰi5	
棉	miŋ2	
棋	ki2	
棗	tsɤ3	
棚	pʰɔŋ2	
棺	kuŋ1	
椅	i3	
椒	tsio1	
椿	kʰyæ1	
楊	iɔŋ2	
業	ŋiʔ8	
榜	pɔŋ3	
榜	/	
槍	tsʰiɔŋ1	
槳	tsiɔŋ3	
槽	tsɤ2	
樂	lɔʔ8	快樂
樂	iɔʔ8	音樂
樓	lio2	
標	pio1	
模	mo2	
樵	/	
樹	fy6	
橄	kəŋ3	
橋	kio2	
機	ki1	
橫	vəŋ2	
檀	tʰəŋ2	
檢	kiŋ3	
權	/	
欖	ləŋ3	
欠	kʰiɑŋ5	
欺	kʰi1	
款	kʰuŋ3	
歇	/	
歉	kʰiɑŋ5	
歌	kɤ1	
歡	fəŋ1	
正	tʃəŋ1	正月
正	tʃəŋ5	
步	pu6	一步
步	pu6	進步
武	u3	
歲	si5	
歷	/	
歸	kui1	
死	sɿ3	
殊	ʃiu2	
殺	sɑ6	
殼	kʰɤ6	
母	mo1	
毒	tɔʔ8	
比	pi3	
毛	mɤ2	
毯	tʰəŋ3	
民	miæ2	
氣	kʰi5	天氣
氣	kʰi5	受氣
水	fy3	
永	iɔŋ3	
汁	tʃiæ6	
求	kiu2	求人
求	kiu2	求神
汗	həŋ6	
汝	ŋ̍1	你
江	kɔŋ1	
池	tʃʰʅ2	
決	kiæ6	
沃	ɔ6	
沉	tʃiæ2	
沕	/	躲
沙	ʃɑ1	
河	hɤ2	
油	iu2	
治	tʃʅ6	
泅	siu2	
泉	tsəŋ2	泉州
泉	tsəŋ2	矿泉
法	fo6	
法	/	
泡	pʰɑ5	
波	pɤ1	
泰	tɑi5	
洗	si3	
洞	tɑŋ6	
活	/	
活	fɑʔ8	
派	pʰɑ5	
流	lio2	
浴	/	
海	hɑi3	
消	sio1	
涼	liɔŋ2	
深	tʃʰiæ1	
淹	/	
淺	tsʰiŋ1	
添	tʰiŋ1	
添	/	
清	tsʰæ1	
減	kiaŋ3	
港	kaŋ3	
湖	hu2	
湯	tʰɔŋ1	
準	kyæ3	
溝	kio1	
溪	kʰi1	
溫	væ1	
滅	miæʔ8	
滑	vɑiʔ8	
滴	/	
滷	lu3	
滚	kuæ3	
滿	məŋ3	
滿	/	
漆	tsʰɑi6	
漏	lio6	
演	/	
漳	tʃɔŋ1	
漿	tsiɔŋ1	
潑	pʰɑ6	
潭	tʰəŋ2	
激	kɑi6	
濕	tʃʰi6	
灣	vuŋ1	
火	fɑi3	
灰	fɑi1	灰芋
灰	fɑi1	石灰
災	tsɑi1	
災	/	
炊	kʰui1	
炎	/	
炒	tsʰɑ3	
炭	tʰəŋ5	
炮	pʰɑ5	
爲	vi2	
烊	/	
烏	u1	
煎	tsiŋ1	煎藥
煎	tsiŋ1	煎魚
煙	iŋ1	
煤	mɑi2	
照	tʃɤ5	
照	/	
煩	fəŋ2	
煮	/	
熊	ʃɑŋ2	
熱	ŋiʔ8	
燈	tæ1	
燒	tʃʰɤ1	
燕	iŋ5	
燙	/	
營	/	
燭	tʃɔ6	
爐	lu2	
爛	ləŋ5	
爬	po2	
爭	tsæ1	
爭	/	
父	/	伯父
父	fu6	
爿	/	
牀	tsʰɔŋ2	
牆	tsʰiɔŋ2	
片	pʰiæ5	
牌	pi2	
牙	ŋo2	
牛	ɑŋ2	
物	vɑiʔ8	
牯	ku3	
特	tɔʔ8	
牽	kʰiŋ1	
犯	fəŋ6	
狀	tsɔŋ6	
狗	kio3	
猛	/	
猴	hio2	
獅	si1	
獎	tsiɔŋ3	
獨	tɔʔ8	
獸	ʃu5	
獻	/	
玉	ŋiɔʔ8	
王	vɔŋ2	
珍	tʃiæ1	
珠	tsu1	目珠
珠	ky1	珍珠
班	pəŋ1	
現	siŋ6	
球	kʰiu2	
理	li3	
琴	kʰiæ2	
環	/	
瓜	ko1	
瓤	/	
瓦	vo3	
甌	/	小碗
甕	ɑŋ5	
甜	tiŋ2	
生	sæ1	生日
産	səŋ3	
用	iɑŋ6	
甲	ko6	
界	kɑi5	
留	lio2	
畢	piæ6	
番	fəŋ2	蕃薯
畫	fo6	
當	tɔŋ1	當然
當	tɔŋ5	典當
當	/	典當
疊	tʰoʔ8	
疼	/	
疾	tsɑiʔ8	
病	piŋ6	
痣	tʃʅ5	
痱	pi5	
痲	/	
療	/	
癢	iɔŋ1	
發	fɑ6	
發	/	
白	poʔ8	
百	po6	
的	ti6	
皇	vɔŋ2	
皮	pʰi2	
盆	pʰæ2	
盒	hoʔ8	
監	kəŋ1	
盤	pəŋ2	
目	mɔʔ8	目珠
目	mɔʔ8	題目
直	tʃʰiæʔ8	
相	siɔŋ1	
相	/	
省	sæ3	
眉	mi2	
看	/	
真	tʃiæ1	
眠	miæ2	
眾	tʃɑŋ5	
睡	fi6	
督	tɔ6	
睭	tsu1	目珠
知	ti1	
矩	ky3	
矮	i3	
石	ʃoʔ8	石頭
石	ʃoʔ8	雁石
破	pʰɑ5	
硬	ŋəŋ6	
碑	pɑi1	
碗	vəŋ3	
確	/	
磚	kuiŋ1	
磨	mɑ2	
礦	/	
礦	kʰɔŋ5	
社	ʃo6	
祖	tsɿ3	
祝	tʃɔ6	
神	ʃiæ2	
票	pʰio5	
禍	hɤ6	
福	hɔ6	
禮	li3	
禾	vɑi2	
秀	siu5	
私	sɿ1	
秋	tsʰiu1	
科	kʰɤ1	
秒	mio3	
租	tsɿ1	
秧	ɔŋ1	
税	fi5	
種	tsɑŋ3	種類
種	/	種樹
稱	tʃʰiæ5	
穀	kɔ6	
積	tsɑi6	
穩	væ3	
究	kiu5	
空	kʰɑŋ1	
穿	kʰuiŋ5	
窗	tsʰiɑŋ1	
窟	kʰuɑi6	
窮	kɑŋ2	
窰	iɤ2	
竈	tsɤ5	
立	lɑiʔ8	
站	tsəŋ6	
章	tʃɔŋ1	
童	tɑŋ2	
竹	tsɔ6	
笑	tʃʰɤ5	
笡	/	
符	pu2	
第	ti6	
筆	piæ6	
等	tæ3	
筍	sæ3	
答	to6	
策	tsʰiæ6	
算	səŋ5	
算	/	
管	kuŋ3	
箬	ŋiɤʔ8	
箭	tsiŋ5	
箱	siɔŋ1	
箸	ku6	
節	tsi6	五月節
節	tsi6	一節
節	tsi6	教師節
範	fəŋ6	
篇	piŋ1	
篙	kɤ1	
篩	tsʰi1	動詞
篾	/	
簡	kiŋ3	
簪	tsiŋ1	
簫	sio1	
簽	tsʰiɑŋ1	
籃	ləŋ2	
籠	lɑŋ2	
籤	tsʰiɑŋ1	
米	mi3	
籽	tsi3	種子
粉	fæ3	
粒	lɑiʔ8	
粗	tsʰɿ1	
粟	/	
精	tsɑi1	味精
精	tsiŋ1	味精
粿	/	
糉	tsɑŋ5	
糕	kɤ1	
糖	tʰoŋ2	
糜	mɑi2	
糟	tsɤ1	
糶	/	
紅	hɑŋ2	
紐	nio3	
純	tsʰæ2	
紙	tʃi3	
級	kʰiæ6	
素	sɿ5	
索	sɤ6	
細	si5	
紹	/	
終	tʃɑŋ1	
結	kiæ6	打結
結	kiæ6	結束
統	tʰɑŋ3	
絲	sɿ1	
綑	kʰuæ3	
經	kiæ1	
綠	liɔʔ8	
維	vi2	
網	mio3	
緊	kiæ3	
線	siŋ5	
緣	/	
編	piŋ1	
練	liŋ6	
縛	pɔʔ8	
縣	viŋ6	
縫	hɑŋ2	
縫	pɑŋ2	
縫	pʰɑŋ6	
總	tsɔŋ3	
績	tsɑi6	
續	siɔʔ8	
纏	tʃiŋ2	
缺	kʰiæ6	
罐	kuŋ5	
罪	tsɑi6	
罰	fɑʔ8	
罵	/	
羅	lɤ2	
羊	iɔŋ2	
群	kʰuæ2	
翁	/	
習	sɑiʔ8	
翼	sɑiʔ8	
老	lɤ3	
老	lɔ3	
考	kʰɤ3	
耳	ŋi3	
聘	pʰiæ5	
聞	væ2	
聰	tsʰɑŋ1	
聲	ʃəŋ1	
職	tʃiæ6	
聽	tʃʰəŋ1	
肚	tu3	
肝	kəŋ1	
肥	pi2	
肩	kiŋ1	
肯	/	
育	ɡiɔ8	
肺	fi5	
胃	vi6	
背	pɑi3	背後
背	pɑi6	背誦
胎	tʰɑi1	
胎	/	
胞	pɑ1	
胸	hiɔŋ1	
能	/	
脅	hiʔ8	
脊	/	
脱	/	
腐	fu6	
腕	vəŋ5	
腡	lɑi2	
腦	/	
腫	tsɑŋ3	
腰	iɤ1	
腸	tɔŋ2	
腹	pɔ6	
腿	tʰɑi3	
膏	kɤ1	
膚	fu1	
膽	təŋ3	
臍	/	
自	tsɿ6	
臭	tsʰu5	
臺	tɑ2	
舂	tʃɑŋ1	
舅	ku8	
舅	kʰiu6	
興	hæ5	
舌	tʃiʔ8	
舞	u3	
般	pəŋ1	
船	fiŋ2	
船	fəŋ2	
良	liɔŋ2	
艱	/	
色	sɑi6	
艾	ɑi5	
芋	u6	
花	fo1	
芳	/	
芹	kʰiæ2	
苦	kʰu5	
英	æ1	
茄	kio2	
茶	tʃo2	
茸	ɡiɑŋ2	
草	tsʰɤ3	
荔	li6	
荷	hɤ2	
菊	kɔ6	
菖	tsʰɔŋ1	
菜	tsʰi5	
華	ho2	
萬	vəŋ6	
落	lɤʔ8	
董	tɑŋ3	
蒙	/	
蒜	səŋ5	
蓆	tsʰiɑʔ8	草席
蓮	niŋ2	
蔗	tʃo5	
蔘	sɔŋ1	
蔡	tsʰɑ5	
蔣	tsiɔŋ3	
葱	tsʰɑŋ1	
蕃	fəŋ2	蕃薯
蕉	/	
薄	pɤʔ8	
薑	kiɔŋ1	
薯	fy2	番薯
薰	fæ1	
藍	ləŋ2	
藕	ŋɔ3	
藥	iɤʔ8	
蘇	sɿ1	
蘭	ləŋ2	
虎	fu3	
虚	fy1	
號	hɤ6	
虧	kʰui1	
蛀	tsu5	
蛇	ʃo2	
蜀	/	
蜂	pʰɑŋ1	
蜜	/	
蝦	ho2	
虱	sɑi6	
螺	lɑi2	
蟲	tɑŋ2	
蟻	ŋi3	
蠅	sæ2	
蠓	/	
蠟	loʔ8	
血	fi6	
行	hɔŋ2	銀行
行	/	走
行	hæ2	行為
術	sɑi8	手術
術	sɑi8	技術
街	ki1	
衛	vi6	
衣	i1	
表	pio3	
衫	səŋ1	
袋	tɑ6	
被	pʰɑi3	
裙	kuæ2	
補	pu3	
裝	tsɔŋ1	動詞
裝	tsɔŋ1	裝潢
複	hɔ6	
褲	kʰu5	
襪	mɑiʔ8	
西	si1	
要	iɤ5	
規	kui1	
視	ʃʅ6	近視
視	ʃʅ6	電視
親	tsʰæ1	
覽	ləŋ3	
觀	kuŋ1	
角	kɤ6	
解	kɑi3	
解	fɑ8	不會
言	ŋiæ2	
計	ki5	
討	tʰɤ3	
託	/	
記	ki5	
設	ʃi6	
許	/	姓氏
許	fy3	姓氏
診	tʃiæ3	
試	ʃɿ5	
話	vo6	
該	/	
詳	siɔŋ2	
認	liæ6	
誓	ʃʅ6	
課	kʰɤ5	
調	tio2	
調	/	
談	tʰəŋ2	
請	tsʰiŋ3	
諒	liɔŋ6	
論	læ6	
謙	kʰiɑŋ1	
講	kɔŋ3	
謝	siɑ6	姓氏
謝	siɑ6	多謝
證	tʃiæ5	
識	siæ6	
警	kiæ3	
警	kiŋ3	
護	fu6	
讀	tʰɔʔ8	
變	piŋ5	
讓	ŋiɔŋ6	
豆	tio6	
豐	hɑŋ1	
豬	ky1	
貌	/	
貝	/	
負	fu6	
財	tsɑ2	橫財
財	tsɑ2	財源
貨	hɤ5	
貪	tʰəŋ1	
責	tsɑi6	
貴	kui5	
買	mi3	
貸	tɑi6	
費	fi5	
資	tsɿ1	
賊	tsʰɑiʔ8	
賠	pɑi2	
賢	/	
賣	mi6	
質	tʃiæ6	
賭	tu3	
賴	/	
賽	sɑi5	
赤	/	
走	tsio3	
赴	fu5	
起	kʰi3	
趁	/	
趙	tsɤ6	
足	/	
跡	/	
跪	kui6	
路	lu6	
跳	tʰiɤ5	
踢	tʰɑi6	
身	ʃiæ1	
車	tʃʰo1	
軍	kuæ1	
軟	ŋuiŋ3	
較	kiɑu5	
載	tsɑi5	
輕	kʰiŋ1	
輩	pɑi5	
輪	læ2	
輸	fy1	輸贏
輸	fy1	運輸
轉	kuiŋ3	
辛	sæ1	
辣	lɑʔ8	
辦	pəŋ6	
辮	piŋ6	
迎	ŋiŋ2	
近	kʰyæ2	
退	tʰɑi5	
送	sɑŋ5	
透	tʰɤ5	
通	tʰɑŋ1	
速	sɔʔ6	
連	liŋ2	
進	tsæ5	
逼	piæ6	
運	viæ6	
遍	piŋ5	
過	kɤ5	
達	tɑʔ8	
遠	viŋ3	很遠
遠	viŋ3	永遠
適	/	
遮	tʃo1	
遲	tʃʅ2	
遵	tsæ1	
選	siŋ3	
邊	piŋ1	
郎	lɔŋ2	
部	pu6	
郭	kɤ6	
都	tu1	
鄉	ʃɔŋ1	
鄭	tʃəŋ6	
鄰	læ2	
配	pʰɑi5	
酒	tsiu3	
酸	səŋ1	
醃	/	
醉	tsi5	
醋	tsʰɿ5	
醒	tsɑiŋ3	
醫	i1	
醬	tsiɔŋ5	
重	tsʰɑŋ1	輕重
重	tsɑŋ6	尊重
野	io3	
量	liɔŋ6	
金	kiæ1	
釘	tæ1	鐵釘
釘	tæ1	動詞
針	tʃiæ1	
釣	tɑ5	
鈍	tæ3	
鉛	viŋ2	
鉢	pɑ6	
鉤	kio1	
鉸	kɑ1	
銀	ŋyæ2	
銅	tɑŋ2	
鋪	pʰu1	鋪著
鋪	pʰu5	店鋪
鋸	ky5	
錄	liɔʔ8	
錢	tsiŋ2	
錦	kiæ3	
鍛	təŋ6	
鎖	sɤ3	名詞
鎖	sɤ3	動詞
鎮	tæ5	
鏡	kiŋ5	
鐘	tsɑŋ1	
鐮	liŋ2	
鐲	tʃɔʔ8	
鐵	tʰi6	
鑼	lɤ2	
鑽	tsəŋ5	
鑿	/	
長	tɔŋ2	
長	tʃʰɔŋ5	
門	mæ2	
開	kʰuɑi1	
閏	viæ6	閏月
閑	hiŋ2	
間	kiŋ1	
間	/	
闊	kʰuɑ6	
關	kuŋ1	
降	/	
限	hiŋ6	
院	viŋ6	
除	ku2	
陪	pɑi2	
陳	tʃiæ2	
陸	liɔʔ8	
隊	tɑi6	
障	tʃɔŋ5	
險	hiɑŋ3	
雄	ʃɑŋ2	
集	tsiʔ8	
雙	saŋ1	
雙	/	
雜	tsoʔ8	
雞	ki1	
離	li2	
難	nəŋ2	
雨	u3	
雪	si6	
雲	væ2	
零	læ2	
雷	lɑi2	
電	tiŋ6	
震	tʃiæ5	
霜	sɔŋ1	
露	lu5	
靈	læ2	
青	tsʰiŋ1	
靜	tsæ6	
靠	kʰɤ5	
面	miæ3	
革	kiæ6	
靴	fiɑ1	
鞋	i2	
韌	ŋyæ6	
韭	ku3	
音	ɑi1	
響	ʃɔŋ3	
頁	iʔ8	
頂	tæ3	
項	hioŋ6	
順	ʃiæ6	
頓	tæ5	
領	/	
頭	tʰio2	
題	ti2	
額	/	
顔	iæ2	顏色
顧	ku5	
顯	/	
風	hɑŋ1	
颺	/	
飄	pʰio1	
飛	pɑi1	動詞
飛	fi1	飛機
食	ʃiʔ8	吃
食	ʃiʔ8	扁食
飯	pəŋ6	
飲	/	
飼	/	
飽	pɑ3	
餅	piŋ3	
餐	tsʰəŋ1	
餓	ŋɤ6	
餜	/	
香	ʃɔŋ1	燒香
香	ʃɔŋ1	香港
馬	mo3	
騙	piŋ5	
驕	kio1	
驗	ŋiɑŋ6	
驚	/	
骨	kuɑi6	
骹	kʰɑ1	
髓	/	
體	tʰi3	
高	kɤ1	
鬆	siɑŋ1	
鬚	tsʰiu1	
鬥	tio5	
鬧	lio6	熱鬧
鬧	/	吵鬧
鬼	kui3	
魂	fæ2	
魚	ŋy2	
鮮	siŋ1	
鱗	læ2	
鳥	tɑ3	
鳳	hɑŋ6	
鴉	o1	
鴨	o6	
鴿	ko6	
鵝	ŋɤ2	
鹹	kiaŋ2	
鹽	iŋ2	
鹿	lɔʔ8	
麗	li6	
麥	mɑʔ8	
麵	miŋ6	
麻	mɑ2	
黃	vɔŋ2	
黏	ku2	黏貼
黏	/	
點	tiŋ3	
黨	tɑŋ3	
鼈	/	
鼎	tʃəŋ3	
鼓	ku3	
鼠	kʰy3	
鼻	pʰi6	
齊	tsi2	
齋	tsɑ1	
齒	kʰi3	
龍	liɑŋ2	
龜	kui1	
𢶀	/	找
𤆬	/	娶
