#漢字	音標	解釋
㞎	pɔ3	屎～～
冲	tsʰõ1	
冲	tsʰõ4	
决	tɕɨ2	
况	kʰuã4	
冷	lɘ˞̃3	
凍	tõ4	
淨	tsɨ̃4	
準	tsõ3	
凉	liã2	
凌	lɨ̃2	
減	tɕiɛ3	
凛	lɨ̃3	
凝	nɨ̃2	
几	tɕɨ1	
几	tɕɨ3	～个人
凡	fã2	
鳳	fõ4	
凭	pʰɨ̃2	
凱	kʰɐ3	
凳	tɘ˞̃4	
凶	ɕiõ1	
出	tsʰɯ2	
函	xã2	
鑿	tso2	
刀	tɑ1	
刁	tiɑ1	
刃	zɘ˞̃3	
分	fɘ˞̃1	
分	fɘ˞̃4	水～
切	tɕʰɨ2	
刊	kʰã1	
刎	vɘ˞̃3	
刑	sɨ̃2	
划	xuɔ2	～船
划	xuɔ4	计～
列	lɨ2	
劉	liɘ2	
則	tsɘɨ2	
剛	kã1	
創	t̠ʃʰuã4	
初	tsʰɯ1	～中
初	tsʰo1	～ー
刪	sã1	
判	pʰã4	
刨	pʰɑ2	
利	lɨ4	
别	pɨ2	
刮	kuɔ2	
到	tɑ4	
刷	ʃuɔ2	
券	tɕiɛ4	
刺	tsʰɿ ᵊ4	
刻	kʰɘɨ2	
劊	kʰuɐ4	～子手
剁	to4	
劑	tɕɨ4	
剃	tʰɨ4	
削	ɕio2	
前	tɕʰiɛ2	
剮	kuɔ3	
劍	tɕiɛ4	
剔	tʰɨ1	
剖	pʰo3	
剟	to2	
剝	po2	
剩	sɘ˞̃4	
剪	tɕiɛ3	
副	fɯ4	
割	ko2	
剿	tɕiɑ3	
勸	tɕʰiɛ4	
辦	pã4	
加	tɕiɔ1	
務	vɯ4	
劣	lɨ2	
動	tõ4	
助	tsɯ4	
努	nɯ3	
劫	tɕɨ2	
勵	lɨ4	
勁	tsɨ̃4	
勞	lɑ2	
勃	pʰɯ2	
勇	ʑiõ3	
勉	miɛ3	
勋	sɨ̃1	
勒	lɘɨ2	
勘	kʰã1	
募	mo4	
勤	tsʰɨ̃2	
勺	so2	
勾	kɘ˞1	
勻	zɨ̃2	
包	pɑ1	
匈	ɕiõ1	
化	xuɔ4	
北	pɘɨ2	
匙	sɿ ᵊ1	钥～
匠	tɕiã4	
匡	kʰuã1	
匪	fɘɨ3	
匹	pʰɨ1	
區	tɕʰɨ1	
醫	ʑɨ1	
匾	piɛ3	
十	sɿ ᵊ2	
千	tɕʰiɛ1	
升	sɘ˞̃1	
午	vɯ3	
半	pã4	
華	xuɔ2	
協	ɕɨ2	
卒	tsɯ2	
卓	tso2	
單	tã1	～薄
單	sã4	姓
賣	mɐ4	
南	nã2	
博	po2	
卜	pʰɯ2	
占	tsã1	～卜
占	tsã4	
卡	kʰɔ3	
盧	ǀɯ2	
卤	ǀɯ3	
卦	kuɔ4	
臥	ɣo4	
衛	uɘɨ4	
卯	mɑ3	
印	zɨ̃4	
危	uɘɨ2	
即	tɕɨ2	
卻	tɕʰio2	
卵	luɘ˞̃3	
卷	tɕiɛ4	
卸	ɕɨ4	
卿	tsʰɨ̃1	
廠	tsʰã3	
廳	tʰɨ̃1	
厲	lɨ4	
壓	ʑiɔ2	
厭	ʑiɛ4	
厘	lɨ2	
厚	xɘ˞4	
原	ʑiɛ2	
廂	ɕiã1	
厦	sɔ3	偏～
去	kʰɘɨ4-	
去	tɕʰɨ4=	
縣	ɕiɛ4	
参	tsʰã1	～加
参	sɘ˞̃1	人～
又	ʑiɘ4	
叉	tsʰɔ1	
及	tɕɨ2	
友	ʑiɘ3	
雙	ʃuã1	
反	fã3	
发	fɔ2	
叔	sɯ2	
取	tɕʰɨ3	
受	sɘ˞4	
變	piɛ4	
敘	ɕɨ4	
叛	pʰã4	
疊	tɨ2	
口	pʰɐ3	两臂左右平伸，两手之间的距离
口	kʰɘ˞3	
口	t̠ʃʰuɐ4	恶
古	kɯ3	
句	tɕɨ4	
另	lɨ̃4	
叨	tɑ1	
叩	kʰɘ˞4	
只	tsɿ ᵊ3	
叫	tɕiɑ4	
召	tsɑ4	
叮	tɨ̃1	
可	kʰo3	
台	tʰɐ2	
史	sɿ ᵊ3	
右	ʑiɘ4	
葉	ʑɨ2	
號	xɑ4	
司	sɿ ᵊ1	
嘆	tʰã4	
叼	tiɑ1	
吁	ɕɨ1	喘～～
吃	tsʰɿ ᵊ2	
各	ko2	
吆	ʑiɑ1	
合	ko2	十～一升
合	xo2	
吉	tɕɨ2	
吊	tiɑ4	
同	tʰõ2	
名	mɨ̃2	
后	xɘ˞4	
吏	lɨ4	
吐	tʰɯ3	一痰
吐	tʰɯ4	呕～
向	ɕiã4	
吕	luei3	
君	tsɨ̃1	
吝	lɨ̃4	
吞	tʰõ1	
吟	nɨ̃2	
吠	fɘɨ4	
否	fɘ˞3	
含	xã2	
听	tʰɨ̃1	～课
听	tʰɨ̃4	～任
吭	kʰɘ˞̃1	
启	tɕʰɨ3	
吴	vɯ2	
吵	tsʰɑ3	
吸	ɕɨ2	
吹	t̠ʃʰuɘɨ1	
吺	nɘ˞4	啰嗦
吻	vɘ˞̃3	
吼	xɘ˞3	
吾	vɯ2	
呃	ɣɘɨ2	
呆	tɐ1	
告	kɑ4	
嘔	ɣɘ˞3	
員	ʑiɛ2	
嗆	tɕʰiã4	
嗚	mɨ̃2	
呢	nɨ2	
周	tsɘ˞1	
味	vɘɨ4	
呵	xɔ1	打～欠
呻	sɘ˞̃1	
呼	xɯ1	
命	mɨ̃4	
和	xo2	
咒	tsɘ˞4	
咖	kʰɔ1	
嚨	lõ1	
咧	lɐ3	龇牙～嘴
咪	mɨ1	
咬	ʑiɑ3	
咳	kʰɘɨ2	
咸	ɕiɛ2	
哀	ɣɐ1	
品	pʰɨ̃3	
哄	xõ3	
哆	to1	
哇	uɔ2	
哈	xɔ1	
響	ɕiã3	
啞	ʑiɔ3	
哥	ko1	
哨	sɑ4	
哩	lɨ1	
哪	nɘɨ3	～个
哭	kʰɯ2	
哼	xɘ˞̃1	
哽	kɘ˞̃3	
唆	so1	
唉	ɣɐ1	
唐	tʰã2	
嘮	lɑ2	
喚	xuɘ˞̃4	
售	sɘ˞4	
唯	vɘɨ2	
唱	tsʰã4	
啃	kʰɘ˞̃3	
商	sã1	
囉	lo1	
啼	tʰɨ2	
喂	uɘɨ4	
善	sã4	
喉	xɘ˞2	
喊	xã3	
喏	no1	睡～～
喘	t̠ʃʰuɘ˞̃3	
喜	ɕɨ3	
喝	xo1	
喵	miɑ1	
噴	pʰɘ˞̃1	～水
噴	pʰɘ˞̃4	～噬
喻	ʑɨ4	
嘍	lɘ˞1	
嗅	ɕiɘ4	
嗑	kʰo4	～瓜子
嗓	sã3	
嗜	sɿ ᵊ4	
嗡	ɣõ1	
嗣	sɿ ᵊ4	
嗤	tsʰɿ ᵊ1	
嗽	sɘ˞4	
嘉	tɕiɔ1	
噓	ɕɨ1	
囑	tsɯ2	
嘴	tʃuɘɨ3	
嘻	ɕɨ1	
嘿	xɘɨ1	
噎	ʑɨ2	
器	tɕʰɨ4	
嚎	xɑ2	
嚓	tsʰɔ3	
囂	ɕiɑ1	
嚷	zã3	
嚼	tɕiɑ2	～筋：小气
嚼	tɕio2	
囊	nã2	
囚	tɕʰiɘ2	
四	sɿ ᵊ4	
回	xuɘɨ2	
囟	sɨ̃4	～门儿
因	zɨ̃1	
囡	nɯ1	
团	tʰuɘ˞̃2	
囤	tʰõ2	
園	ʑiɛ2	
困	kʰõ4	
囱	tsʰõ1	
圍	uɘɨ2	
固	kɯ4	
國	kuɘɨ2	
圖	tʰɯ2	
圓	ʑiɛ2	
圈	tɕʰiɛ1	圆～
圈	tɕiɛ4	牛～
土	tʰɯ3	
聖	sɘ˞̃4	
在	tsɐ4	
地	tɨ4	
場	tʰɨ2	
場	tsʰã2	
址	tsɿ ᵊ3	
均	tsɨ̃1	
坎	kʰã3	
壞	xuɐ4	
坐	tso4	
坑	kʰɘ˞̃1	
塊	kʰuɐ3	
堅	tɕiɛ1	
壩	pɔ4	
墳	fɘ˞̃2	
墜	tʃuɘɨ4	
坡	pʰo1	
坤	kʰõ1	
坦	tʰã3	
坨	tʰo2	
坪	pʰɨ̃2	
坯	pʰɨ1	打～子
垂	t̠ʃʰuɘɨ2	
壟	lõ3	
型	sɨ̃2	
垒	luei3	
墾	kʰɘ˞̃3	
墊	tiɛ4	
垮	kʰuɔ3	
埂	kɘ˞̃3	
埄	pʰõ1	
埋	mɐ2	
城	tsʰɘ˞̃2	
域	zɯ2	
培	pʰɘɨ2	
基	tɕɨ1	
堂	tʰã2	
堆	tuɘɨ1	
堡	pɑ3	
堤	tʰɨ2	
堪	kʰã1	
堰	ʑiɛ4	
堵	tɯ3	
塃	xuã1	
塌	tʰɔ2	
塑	sɯ4	
塔	tʰɔ2	
塘	tʰã2	
塞	sɘɨ2	
填	tʰiɛ2	
境	tsɨ̃3	
墓	mo4	
牆	tɕʰiã2	
增	tsɘ˞̃1	
墨	mɘɨ2	
墩	tõ1	
壕	xɑ2	
壤	zã3	
士	sɿ ᵊ4	
壬	zɘ˞̃2	
壯	tʃuã4	
聲	sɘ˞̃1	
殼	kʰo2	
壺	xɯ2	
處	tsʰɯ3	相～
處	tsʰɯ4	所
備	pɨ4	
复	fɯ2	
夏	ɕiɔ4	
夕	ɕɨ2	
外	uɐ4	
多	to1	
夜	ʑɨ4	
够	kɘ˞4	
大	tɔ4	
天	tʰiɛ1	
太	tʰɐ4	
夫	fɯ1	
夭	ʑiɑ1	
央	ʑiã1	
夯	xã1	
失	sɿ ᵊ2	
頭	tʰɘ˞2	
夷	ʑɨ2	
夸	kʰuɔ1	
夾	tɕiɔ2	
奪	to2	
奐	xuɘ˞̃4	
奈	nɐ4	
奉	fõ4	
奮	fɘ˞̃4	
奎	kʰuɘɨ2	
奏	tsɘ˞4	
契	tɕʰɨ4	
奓	tsɔ1	～开嘴
奔	pɘ˞̃1	
獎	tɕiã3	
套	tʰɑ4	
奢	sɘɨ1	
奧	ɣɑ4	
女	nɨ3	
奴	nɯ2	
奶	nɐ1	阿～
奶	nɐ3	
奸	tɕiɛ1	
好	xɑ3	～坏
好	xɑ4	爱～
如	zɯ2	
妃	fɘɨ1	
妄	vã4	
妝	tʃuã1	
婦	fɯ4	
媽	mɔ1	
妒	tɯ4	
妓	tɕɨ4	
妖	ʑiɑ1	
妙	miɑ4	
妞	niɘ1	
妥	tʰo3	
妨	fã2	
妹	mɘɨ4	
妻	tɕʰɨ1	
妾	tɕʰɨ2	
姊	tsɿ ᵊ3	
始	sɿ ᵊ3	
姐	tɕɨ3	
姑	kɯ1	
委	uɘɨ3	
姘	pʰɨ̃1	
姚	ʑiɑ2	
姜	tɕiã1	
姨	ʑɨ2	
姪	tsɿ ᵊ2	
姻	zɨ̃1	
姿	tsɿ ᵊ1	
威	uɘɨ1	
娃	uɔ2	
嬌	tɕiɑ1	
娘	niã2	
娛	ʑɨ2	
娶	tɕʰɨ3	
婆	pʰo2	
婊	piɑ3	
婚	xõ1	
婢	pɘɨ4	
嬰	zɨ̃1	
嬸	sɘ˞̃3	
婷	tʰɨ̃2	
媒	mɘɨ2	
媚	mɘɨ4	
媳	ɕɨ2	
嫁	tɕiɔ4	
嫂	sɑ3	
嫌	ɕiɛ2	
嫑	piɑ4	
嫖	pʰiɑ2	
嫩	nõ4	
孃	niã1	
子	tsɿ ᵊ3	
孔	kʰõ3	
孕	zɨ̃4	
字	tsɿ ᵊ4	
存	tsʰõ2	
孫	sõ1	
孝	ɕiɑ4	
孟	mõ4	
季	tɕɨ4	
孤	kɯ1	
學	ɕio2	
孩	xɐ2	
孵	fɯ2	
孽	nɨ2	
寧	nɨ̃2	
寧	lɨ̃2	
宅	tsɘɨ2	
宇	ʑɨ3	
守	sɘ˞3	
安	ɣã1	
完	uɘ˞̃2	
宏	xõ2	
宗	tsõ1	
官	kuɘ̃˞1	
官	kõ1	
宙	tsɘ˞4	
定	tɨ̃4	
宜	nɨ2	
寶	pɑ3	
實	sɿ ᵊ2	
寵	tsʰõ3	
審	sɘ˞̃3	
客	kʰɘɨ2	
宣	ɕiɛ1	
室	sɿ ᵊ2	
宦	xuɘ˞̃4	
宪	ɕiɛ4	
宰	tsɐ3	
害	xɐ4	
宴	ʑiɛ4	
宵	ɕiɑ1	
家	tɕɨ1-	
家	tɕiɔ1	
容	ʑiõ2	
寬	kʰuɘ˞̃1	
賓	pɨ̃1	
宿	sɯ2	
宿	sɯ2	～舍
宿	ɕiɘ4	星～
寄	tɕɨ4	
寅	zɨ̃2	
密	mɨ2	
富	fɯ4	
寒	xã2	
寓	ʑɨ4	
寢	sɨ̃3	
察	tsʰɔ2	
寡	kuɔ3	
寨	tsɐ4	～子
寸	tsʰõ4	
對	tuɘɨ4	
寺	sɿ ᵊ4	
尋	sɨ̃2	
導	tɑ4	
壽	sɘ˞4	
封	fõ1	
射	sɘɨ4	
將	tɕiã1	～要
將	tɕiã4	大～
尊	tsõ1	
小	ɕɨ3	～儿；～老二
小	ɕiɑ3	大～
少	sɑ3	多～
少	sɑ4	～年
尔	ɣɯ˞3	
尖	tɕiɛ1	
尘	tsʰɘ˞̃2	
尚	sã4	
嘗	tsʰã2	
尤	ʑiɘ2	
堯	ʑiɑ2	
尬	kɔ4	
就	tɕiɘ4	
屍	sɿ ᵊ1	
尹	zɨ̃3	
尼	nɨ2	
尽	tsɨ̃4	
尾	vɘɨ3	
尿	ʃuɘɨ1	
尿	niɑ4=	
局	tɕɨ2	
局	tsɯ2	
屁	pʰɨ4	
層	tsʰɘ˞̃2	
屄	pɨ1	
居	tɕɨ1	
屉	tʰɨ1	抽～
屆	kɐ4	
屋	vɯ2	
屌	tiɑ3	蛋
屎	sɿ ᵊ3	
屏	pʰɨ̃2	
展	tsã3	
屙	ɣo1	
屬	tsɯ2	
屬	sɯ2	
屠	tʰɯ2	
屢	luei3	
屨	lɨ3	
屯	tʰõ2	
山	sɔ1	～药
山	sã1	
歲	ʃuɘɨ4	
豈	tɕʰɨ3	
岑	tsʰɘ˞̃3	羞
岔	tsʰɔ3	～巴：爱岔嘴的人
岔	tsʰɔ4	
崗	kã1	
島	tɑ3	
岩	ɣɐ2	
岭	lɨ̃3	
岳	ʑio2	
岸	ɣã4	
峯	fõ1	
崇	tsʰõ2	
崔	t̠ʃʰuɘɨ1	
崖	ɣɐ2	
崩	pɘ˞̃1	
崴	uɐ3	
嵌	tɕʰiɛ4	
嵩	sõ1	
巍	uɘɨ1	
川	t̠ʃʰuɘ˞̃1	
州	tsɘ˞1	
巡	sɨ̃2	
巢	tsʰɑ2	
工	kõ1	
左	tso3	
巧	tɕʰiɑ3	
巨	tɕɨ4	
鞏	kõ3	
巫	vɯ1	
差	tsʰɐ1	出～
差	tsʰɔ1	～别
已	tɕɨ3	
已	ʑɨ3	
已	sɿ ᵊ4	
巴	pɔ1	
巷	xã4	
巾	tsɨ̃1	
幣	pɨ4	
市	sɿ ᵊ4	
布	pɯ4	
帥	ʃuɐ4	
帆	fã2	
師	sɿ ᵊ1	
希	ɕɨ1	
帳	tsã4	
帕	pʰɔ4	
帖	tʰɨ2	
帘	liɛ2	
帚	tsɯ3	
帛	pɘɨ2	
帝	tɨ4	
帶	tɐ4	
席	ɕɨ2	
幫	pã1	
常	tsʰã2	
帽	mɑ4	
幅	fɯ2	
幕	mo4	
干	kã1	～燥
干	kã4	
平	pʰɨ̃2	
年	niɛ2	
并	pɨ̃4	
幸	sɨ̃4	
幺	ʑiɑ1	～二三
幻	xuɘ˞̃4	
幼	ʑiɘ4	
幽	ʑiɘ1	
廣	kuã3	
莊	tʃuã1	
慶	tsʰɨ̃4	
牀	t̠ʃʰuã2	
序	ɕɨ4	
廬	ǀɯ2	
庫	kʰɯ4	
應	zɨ̃4	
底	tɨ3	
店	tiɛ4	
廟	miɑ4	
庚	kɘ˞̃1	
府	fɯ3	
龐	pʰã2	
廢	fɘɨ4	
度	tɯ4	
座	tso4	
庭	tʰɨ̃2	
庵	ɣã1	
庶	sɯ4	
康	kʰã1	
庸	ʑiõ1	
廊	lã2	
廓	ko2	
廖	liɑ4	
延	ʑiɛ2	
廷	tʰɨ̃2	
建	tɕiɛ4	
開	kʰɐ1	
异	ʑɨ4	
弃	tɕʰɨ4	
弄	lõ4	
弊	pɨ4	
弓	kõ1	
引	zɨ̃3	
弟	tɨ4	
張	tsã1	
弥	mɨ2	
弦	ɕiɛ2	
弩	nɯ3	
彎	uɘ˞̃1	
弱	zo2	
彈	tʰã2	～琴
彈	tã4	子～
强	tɕʰiã2	
彀	kɘ˞4	往上～
歸	kuɘɨ1	
當	tã1	～面
當	tã4	～作
录	ǀɯ2	
形	sɨ̃2	
彤	tʰõ2	
彪	piɑ1	
彬	pɨ̃1	
影	zɨ̃3	
彼	pɨ3	
往	uã3	
征	tsɘ˞̃1	
待	tɐ4	
很	xɘ˞̃3	
律	lɨ2	
徐	ɕɨ2	
徒	tʰɯ2	
得	tɘɨ2	
御	ʑɨ4	
循	sɨ̃2	
微	mɨ1-	
微	vɘɨ2	
德	tɘɨ2	
徽	xuɘɨ1	
心	sɨ̃1	
必	pɨ2	
忌	tɕɨ4	
忍	zɘ˞̃3	
志	tsɿ ᵊ4	
忘	vã2	
忙	mã2	
忠	tsõ1	
快	kʰuɐ4	
念	niɛ4	
忽	xɯ2	
懷	xuɐ2	
態	tʰɐ4	
慫	sõ3	
慪	ɣɘ˞4	
怎	tsɘ˞̃3	
怒	nɯ4	
怕	pʰɔ4	
怖	pɯ4	
憐	liɛ2	
思	sɿ ᵊ1	
急	tɕɨ2	
性	sɘ˞̃1	
怨	ʑiɛ4	
怪	kuɐ4	
總	tsõ3	
恁	nɨ4	
戀	liɛ4	
恐	kʰõ3	
恆	xɘ˞̃2	
恕	sɯ4	
恢	xuɘɨ1	
恤	ɕɨ2	
恨	xɘ˞̃4	
恩	ɣɘ˞̰1	
恭	kõ1	
息	ɕɨ2	
恰	tɕʰiɔ2	
懇	kʰɘ˞̃3	
恶	ɣo2	凶～
恶	vɯ4	可～
惱	nɑ3	
恿	ʑiõ3	
悉	ɕɨ2	
悔	xuɘɨ3	
悟	vɯ2	
悟	vɯ4	
悠	ʑiɘ1	
患	xuɘ˞̃4	
悅	ʑɨ2	
懸	ɕiɛ2	
憫	mɨ̃3	
悲	pɘɨ1	
驚	tsɨ̃1	
惑	xuɘɨ2	
惜	ɕɨ2	
惟	vɘɨ2	
惠	xuɘɨ4	
慘	tsʰã3	
懲	tsʰɘ˞̃3	
慣	kuɘ̃˞4	
惰	to4	
想	ɕiã3	
惶	xuã2	
惹	zɘɨ3	
愁	tsʰɘ˞2	
愉	ʑɨ2	
感	kã3	
愣	lɘ˞̃4	
憤	fɘ˞̃4	
愧	kʰuɘɨ4	
願	ʑiɛ4	
慈	tsʰɿ ᵊ2	
慌	xuã1	
慕	mo4	
慢	mã4	
慧	xuɘɨ4	
慰	uɘɨ4	
慷	kʰã3	
憎	tsɘ˞̃1	
憨	xã1	
懂	tõ3	
懊	ɣɑ4	
懶	lã3	
懵	mõ3	
戍	sɯ2	
戍	vɯ4	
戎	zõ2	
戲	ɕɨ4	
成	tsʰɘ˞̃2	
我	ɣo3	
戒	kɐ4	
或	xuɘɨ2	
戰	tsã4	
戥	tɘ˞̃3	～子
截	tɕɨ2	
戳	to2	
戴	tɐ4	
戶	xɯ4	
房	fã2	
所	so3	
扁	piɛ3	
扇	sã4	
手	sɘ˞3	
才	tsʰɐ2	
扎	tsɔ2	
扑	pʰɯ2	
扒	pɔ1	用手～
扒	pʰɔ2	～手
打	tɨ̃4-	～住
打	tɔ2	一～
打	tɔ3	
扔	zɘ˞̃1	
托	tʰo2	
扚	tɨ2	～头发
扛	kʰã2	
扣	kʰɘ˞4	
捫	mɘ˞̃2	
掃	sɑ3	～地
掃	sɑ4	～帚
揚	ʑiã2	
扭	niɘ3	
扮	pã4	
扯	tsʰɘɨ3	
擾	zɑ3	
扳	pã1	
扶	fɯ2	
批	pʰɨ1	
扼	ɣɘɨ2	
找	tsɑ3	
承	sɘ˞̃2	
技	tɕɨ4	
抄	tsʰɑ1	
把	pɔ3	一～刀
把	pɘɨ3	介词：～门关好
把	pɔ4	刀～
抓	tʃuɔ1	
投	tʰɘ˞2	
抖	tɘ˞3	
抗	kʰã4	
撫	fɯ3	
抛	pʰɑ1	
摳	kʰɘ˞1	
摳	ɣɘ˞1	～黄鳝
搶	tɕʰiã3	
護	xɯ4	
報	pɑ4	
披	pʰɨ1	
抬	tʰɐ2	
抱	pɑ4	
抵	tɨ3	
抹	mɔ2	～布
抹	mo3	
抻	tsʰɘ˞̃1	
押	ʑiɔ2	
抽	tsʰɘ˞1	
抿	mɨ̃3	
拂	fɯ2	
拃	tsɔ3	一～长
拄	tsʰɯ3	～拐棍
拄	tsɯ4	
擔	tã1	～心
擔	tã4	一～水
拆	tsʰɘɨ2	
拇	mɯ3	
拈	niɛ1	～起来
拉	ǀɔ1	
拌	pã4	
拍	pʰɘɨ2	
拎	lɨ̃1	
拐	kuɐ3	说～了
拒	tɕɨ4	
拓	tʰo2	
拔	pɔ2	
拖	tʰo1	
拗	niɘ4	
拘	tɕɨ1	
招	tsɑ1	
拜	pɐ1	
拜	pɐ4	
